data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
40001,Y100103724,1600,2022-08-08 17:23:39.0,null,'202208081713291952840228,N,
40002,CO11171653,1600.002.01,2022-08-08 17:51:32.0,null,'202208081715161952846918,N,
40003,COCC10904865,1600.002.01,2022-08-08 19:04:16.0,null,'202208081718171952854236,Y,
40004,COCC10904867,1600.002.01,2022-08-08 17:34:24.0,null,'202208081718161952854128,N,
40005,CO11171700,1600.002.01,2022-08-09 13:12:38.0,null,'202208081718161952854150,Y,
40006,CO11171699,1600.002.01,2022-08-08 18:10:25.0,null,'202208081718171952854171,Y,
40007,COCC10904872,1600.002.02,2022-08-08 20:17:38.0,null,'202208081721161952867562,Y,
40008,COCC10904872,1600.002.02,2022-08-08 20:17:38.0,null,'202208081721161952867562,Y,
40009,COCC10904873,1600.002.01,2022-08-08 18:30:03.0,null,'202208081721161952867537,N,
40010,COCC10904875,1600.002.01,2022-08-08 18:21:04.0,null,'202208081744141952939288,Y,
40011,COCC10904875,1600.002.01,2022-08-08 18:21:04.0,null,'202208081744141952939288,Y,
40012,COCC10904877,9000,2022-08-08 21:33:03.0,null,'202208081722161952870619,Y,
40013,CO11171656,1600.002.01,2022-08-08 18:12:31.0,null,'202208081719171952856608,Y,
40014,CO11171656,1600.002.01,2022-08-08 18:12:31.0,null,'202208081719171952856608,Y,
40015,CO11171656,1600.002.01,2022-08-08 18:12:31.0,null,'202208081719171952856608,Y,
40016,CO11171654,1600.002.01,2022-08-08 18:13:58.0,null,'202208081719181952856644,N,
40017,CO11171702,1600.002.01,2022-08-08 17:36:49.0,null,'202208081719181952856668,Y,
40018,CO11171701,1600.002.01,2022-08-08 17:56:29.0,null,'202208081719181952856710,Y,
40019,CO11171701,1600.002.01,2022-08-08 17:56:29.0,null,'202208081719181952856710,Y,
40020,COCC10904881,1600.002.01,2022-08-08 18:15:49.0,null,'202208081725201952879397,Y,
40021,COCC10904881,1600.002.01,2022-08-08 18:15:49.0,null,'202208081725201952879397,Y,
40022,CO11171655,1600.002.01,2022-08-08 18:30:28.0,null,'202208081723171952873025,Y,
40023,COCC10904888,1600.002.01,2022-08-08 18:27:59.0,null,'202208081727161952882873,Y,
40024,COCC10904889,1600.002.01,2022-08-08 19:46:11.0,null,'202208081754161952974121,Y,
40025,COCC10904889,1600.002.01,2022-08-08 19:46:11.0,null,'202208081754161952974121,Y,
40026,COCC10904889,1600.002.01,2022-08-08 19:46:11.0,null,'202208081754161952974121,Y,
40027,COCC10904890,1600.002.01,2022-08-08 17:46:55.0,null,'202208081727181952883070,Y,
40028,COCC10904892,1600.002.01,2022-08-08 18:34:37.0,null,'202208081731161952899160,N,
40029,COCC10904896,1600.002.01,2022-08-08 18:07:09.0,null,'202208081730161952893138,Y,
40030,COCC10904896,1600.002.01,2022-08-08 18:07:09.0,null,'202208081730161952893138,Y,
40031,COCC10904901,1600.002.01,2022-08-08 18:44:43.0,null,'202208081739121952919833,N,
40032,COCC10904902,1600.002.01,2022-08-08 18:29:07.0,null,'202208081735281952908268,Y,
40033,COCC10904907,1600.002.01,2022-08-08 20:13:16.0,null,'202208081735271952908088,Y,
40034,COCC10904908,9000,2022-08-08 17:57:56.0,null,'202208081748111952947734,Y,
40035,COCC10904908,9000,2022-08-08 17:57:56.0,null,'202208081748111952947734,Y,
40036,COCC10904908,9000,2022-08-08 17:57:56.0,null,'202208081748111952947734,Y,
40037,COCC10904908,9000,2022-08-08 17:57:56.0,null,'202208081748111952947734,Y,
40038,COCC10904908,9000,2022-08-08 17:57:56.0,null,'202208081748111952947734,Y,
40039,COCC10904908,1600.002.01,2022-08-08 20:08:01.0,null,'202208081759361952988939,Y,
40040,COCC10904908,1600.002.01,2022-08-08 20:08:01.0,null,'202208081759361952988939,Y,
40041,COCC10904908,1600.002.01,2022-08-08 20:08:01.0,null,'202208081759361952988939,Y,
40042,COCC10904908,1600.002.01,2022-08-08 20:08:01.0,null,'202208081759361952988939,Y,
40043,COCC10904908,1600.002.01,2022-08-08 20:08:01.0,null,'202208081759361952988939,Y,
40044,CO11171657,1600.002.01,2022-08-08 18:20:54.0,null,'202208081733471952905131,N,
40045,CO11171657,1600.002.01,2022-08-08 18:20:54.0,null,'202208081733471952905131,N,
40046,CO11171706,9000,2022-08-08 17:49:25.0,null,'202208081733471952905164,Y,
40047,CO11171706,9000,2022-08-08 17:49:25.0,null,'202208081733471952905164,Y,
40048,CO11171706,1600.002.01,2022-08-08 18:32:47.0,null,'202208081752091952966212,Y,
40049,CO11171706,1600.002.01,2022-08-08 18:32:47.0,null,'202208081752091952966212,Y,
40050,COCC10904912,1600.002.01,2022-08-08 18:19:43.0,null,'202208081737121952912452,Y,
40051,COCC10904912,1600.002.01,2022-08-08 18:19:43.0,null,'202208081737121952912452,Y,
40052,COCC10904913,1600.002.01,2022-08-08 18:26:18.0,null,'202208081737131952912514,Y,
40053,COCC10904914,1600.002.01,2022-08-08 19:38:44.0,null,'202208081739131952919874,Y,
40054,COCC10904915,9000,2022-08-08 17:40:22.0,null,'202208081739101952919421,Y,
40055,COCC10904915,9000,2022-08-08 17:40:22.0,null,'202208081739101952919421,Y,
40056,COCC10904915,9000,2022-08-08 17:40:22.0,null,'202208081739101952919421,Y,
40057,COCC10904915,1600.002.01,2022-08-08 18:54:03.0,null,'202208081742141952933398,Y,
40058,COCC10904915,1600.002.01,2022-08-08 18:54:03.0,null,'202208081742141952933398,Y,
40059,COCC10904915,1600.002.01,2022-08-08 18:54:03.0,null,'202208081742141952933398,Y,
40060,CO11171659,1600.002.01,2022-08-08 18:07:56.0,null,'202208081735291952908330,Y,
40061,CO11171659,1600.002.01,2022-08-08 18:07:56.0,null,'202208081735291952908330,Y,
40062,CO11171659,1600.002.01,2022-08-08 18:07:56.0,null,'202208081735291952908330,Y,
40063,CO11171659,1600.002.01,2022-08-08 18:07:56.0,null,'202208081735291952908330,Y,
40064,CO11171707,1600.002.01,2022-08-08 18:08:09.0,null,'202208081735281952908291,Y,
40065,COCC10904916,1600.002.01,2022-08-08 18:36:58.0,null,'202208081739131952919911,Y,
40066,COCC10904916,1600.002.01,2022-08-08 18:36:58.0,null,'202208081739131952919911,Y,
40067,COCC10904916,1600.002.01,2022-08-08 18:36:58.0,null,'202208081739131952919911,Y,
40068,COCC10904917,1600.002.01,2022-08-08 18:01:23.0,null,'202208081742131952933330,Y,
40069,CO11171660,1600.002.01,2022-08-08 18:27:21.0,null,'202208081739071952919082,Y,
40070,CO11171660,1600.002.01,2022-08-08 18:27:21.0,null,'202208081739071952919082,Y,
40071,CO11171709,1600.002.01,2022-08-08 18:20:48.0,null,'202208081739081952919136,N,
40072,CO11171709,1600.002.01,2022-08-08 18:20:48.0,null,'202208081739081952919136,N,
40073,CO11171709,1600.002.01,2022-08-08 18:20:48.0,null,'202208081739081952919136,N,
40074,CO11171658,1600.002.01,2022-08-08 17:58:11.0,null,'202208081739081952919193,N,
40075,CO11171705,1600.002.01,2022-08-08 18:08:19.0,null,'202208081739081952919233,Y,
40076,CO11171712,1600.002.01,2022-08-08 18:06:56.0,null,'202208081739091952919272,Y,
40077,CO11171712,1600.002.01,2022-08-08 18:06:56.0,null,'202208081739091952919272,Y,
40078,CO11171711,1600.002.01,2022-08-08 18:10:35.0,null,'202208081739091952919318,N,
40079,CO11171711,1600.002.01,2022-08-08 18:10:35.0,null,'202208081739091952919318,N,
40080,CO11171711,1600.002.01,2022-08-08 18:10:35.0,null,'202208081739091952919318,N,
40081,CO11171662,1600.002.01,2022-08-08 18:03:42.0,null,'202208081739091952919376,Y,
40082,CO11171662,1600.002.01,2022-08-08 18:03:42.0,null,'202208081739091952919376,Y,
40083,COCC10904918,1600.002.01,2022-08-08 18:08:03.0,null,'202208081742141952933432,Y,
40084,COCC10904918,1600.002.01,2022-08-08 18:08:03.0,null,'202208081742141952933432,Y,
40085,COCC10904921,1600.002.01,2022-08-08 18:13:51.0,null,'202208081742131952933353,Y,
40086,CO11171663,1600.002.01,2022-08-08 21:30:53.0,null,'202208081739131952919956,Y,
40087,CO11171663,1600.002.01,2022-08-08 21:30:53.0,null,'202208081739131952919956,Y,
40088,CO11171663,1600.002.01,2022-08-08 21:30:53.0,null,'202208081739131952919956,Y,
40089,COCC10904922,1600.002.01,2022-08-08 19:45:32.0,null,'202208081851131953158279,Y,
40090,COCC10904922,1600.002.01,2022-08-08 19:45:32.0,null,'202208081851131953158279,Y,
40091,COCC10904922,1600.002.01,2022-08-08 19:45:32.0,null,'202208081851131953158279,Y,
40092,COCC10904923,1600.002.02,2022-08-08 21:40:51.0,null,'202208081752091952966240,N,
40093,COCC10904923,1600.002.02,2022-08-08 21:40:51.0,null,'202208081752091952966240,N,
40094,CO11171714,1600.002.01,2022-08-08 18:08:14.0,null,'202208081744101952938879,Y,
40095,CO11171664,1600.002.01,2022-08-08 18:18:47.0,null,'202208081744111952938906,Y,
