data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
70001,CO11370848,1600.002.01,2022-12-11 15:19:25.0,null,'202212110224482596555729,Y,
70002,CO11370839,9000,2022-12-11 14:03:16.0,null,'202212110224482596555707,N,
70003,CO11370839,9000,2022-12-11 14:03:16.0,null,'202212110224482596555707,N,
70004,CO11370835,1600.002.01,2022-12-12 13:01:16.0,null,'202212110224482596555745,N,
70005,CO11370904,1600.002.01,2022-12-11 03:42:57.0,null,'202212110226452596556897,Y,
70006,CO11370904,1600.002.01,2022-12-11 03:42:57.0,null,'202212110226452596556897,Y,
70007,CO11370850,1600.002.01,2022-12-11 10:11:24.0,null,'202212110226452596556921,Y,
70008,CO11370903,1600.002.01,2022-12-11 02:49:20.0,null,'202212110226452596556940,Y,
70009,CO11370903,1600.002.01,2022-12-11 02:49:20.0,null,'202212110226452596556940,Y,
70010,CO11370849,1600.002.01,2022-12-11 03:22:25.0,null,'202212110226462596556964,Y,
70011,COCC11209349,1600.002.01,2022-12-11 20:26:13.0,null,'202212110228442596558667,Y,
70012,COCC11209349,1600.002.01,2022-12-11 20:26:13.0,null,'202212110228442596558667,Y,
70013,COCC11209350,1600.002.02,2022-12-11 05:43:50.0,null,'202212110230292596563297,N,
70014,CO11370846,1600.002.01,2022-12-11 06:31:48.0,null,'202212110228432596558630,Y,
70015,CO11370846,1600.002.01,2022-12-11 06:31:48.0,null,'202212110228432596558630,Y,
70016,CO11370846,1600.002.01,2022-12-11 06:31:48.0,null,'202212110228432596558630,Y,
70017,CO11370846,1600.002.01,2022-12-11 06:31:48.0,null,'202212110228432596558630,Y,
70018,COCC11209351,1600.002.01,2022-12-11 03:37:14.0,null,'202212110228452596558823,N,
70019,Y100129351,1600,2022-12-11 02:33:24.0,null,'202212110230072596559857,N,
