data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
70001,CO11320002,1600.002.01,2022-11-13 00:30:20.0,null,'202211122318412389129338,Y,
70002,CO11320001,1600.002.01,2022-11-13 00:11:44.0,null,'202211122318412389129357,Y,
70003,CO11320003,1600.002.01,2022-11-12 23:50:56.0,null,'202211122318422389129376,N,
70004,COCC11133985,1600.002.01,2022-11-13 02:00:15.0,null,'202211122320462389137311,Y,
70005,CO11320004,1600.002.01,2022-11-13 00:14:15.0,null,'202211122320442389136987,Y,
70006,CO11320005,1600.002.01,2022-11-13 00:09:14.0,null,'202211122320442389137044,N,
70007,COCC11133986,1600.002.01,2022-11-12 23:47:24.0,null,'202211122322482389140907,N,
70008,COCC11133986,1600.002.01,2022-11-12 23:47:24.0,null,'202211122322482389140907,N,
70009,COCC11133986,1600.002.01,2022-11-12 23:47:24.0,null,'202211122322482389140907,N,
70010,COCC11133988,1600.002.01,2022-11-13 01:07:55.0,null,'202211122328422389146661,N,
70011,COCC11133988,1600.002.01,2022-11-13 01:07:55.0,null,'202211122328422389146661,N,
70012,COCC11133988,1600.002.01,2022-11-13 01:07:55.0,null,'202211122328422389146661,N,
70013,COCC11133988,1600.002.01,2022-11-13 01:07:55.0,null,'202211122328422389146661,N,
70014,COCC11133989,1600.002.01,2022-11-13 01:49:21.0,null,'202211122324372389143488,Y,
70015,CO11320007,1600.002.01,2022-11-12 23:39:42.0,null,'202211122322462389140723,Y,
70016,CO11320007,1600.002.01,2022-11-12 23:39:42.0,null,'202211122322462389140723,Y,
70017,CO11320083,1600.002.01,2022-11-12 23:53:52.0,null,'202211122322472389140749,Y,
70018,CO11320006,1600.002.01,2022-11-13 00:01:37.0,null,'202211122322472389140799,Y,
70019,CO11320006,1600.002.01,2022-11-13 00:01:37.0,null,'202211122322472389140799,Y,
70020,CO11320006,1600.002.01,2022-11-13 00:01:37.0,null,'202211122322472389140799,Y,
70021,CO11320006,1600.002.01,2022-11-13 00:01:37.0,null,'202211122322472389140799,Y,
70022,CO11320006,1600.002.01,2022-11-13 00:01:37.0,null,'202211122322472389140799,Y,
70023,CO11320006,1600.002.01,2022-11-13 00:01:37.0,null,'202211122322472389140799,Y,
70024,CO11320082,9000,2022-11-12 23:23:56.0,null,'202211122322472389140768,N,
70025,CO11320082,1600.002.01,2022-11-13 00:32:02.0,null,'202211122326352389144917,N,
70026,CO11319981,1600.002.01,2022-11-12 23:51:29.0,null,'202211122322472389140852,N,
70027,CO11319981,1600.002.01,2022-11-12 23:51:29.0,null,'202211122322472389140852,N,
70028,CO11319980,1600.002,2022-11-13 17:08:49.0,null,'202211122322482389140877,N,
70029,COCC11133991,9000,2022-11-12 23:28:43.0,null,'202211122326352389144932,Y,
70030,COCC11133991,1600.002.01,2022-11-13 01:06:44.0,null,'202211122330392389152305,N,
70031,COCC11133992,1600.002.02,2022-11-13 20:04:16.0,null,'202211131827352392312042,Y,
70032,COCC11133992,1600.002.02,2022-11-13 20:04:16.0,null,'202211131827352392312042,Y,
70033,COCC11133992,1600.002.02,2022-11-13 20:04:16.0,null,'202211131827352392312042,Y,
70034,COCC11133992,1600.002.02,2022-11-13 20:04:16.0,null,'202211131827352392312042,Y,
70035,COCC11133992,1600.002.02,2022-11-13 20:04:16.0,null,'202211131827352392312042,Y,
70036,COCC11133993,1600.002.01,2022-11-13 00:19:20.0,null,'202211122326352389144951,Y,
70037,CO11320008,1600.002.01,2022-11-13 00:06:20.0,null,'202211122326342389144881,Y,
70038,COCC11133994,1600.002.01,2022-11-13 00:09:14.0,null,'202211122350412389182153,Y,
70039,COCC11133994,1600.002.01,2022-11-13 00:09:14.0,null,'202211122350412389182153,Y,
70040,COCC11133995,1600.002.01,2022-11-12 23:51:20.0,null,'202211122328412389146543,Y,
70041,COCC11133995,1600.002.01,2022-11-12 23:51:20.0,null,'202211122328412389146543,Y,
70042,COCC11133996,1600.002.01,2022-11-13 03:04:41.0,null,'202211122332402389157401,Y,
70043,COCC11133998,1600.002.01,2022-11-13 00:04:06.0,null,'202211122328412389146594,Y,
70044,COCC11133999,1600.002.01,2022-11-13 00:17:20.0,null,'202211122330382389152219,Y,
70045,COCC11133999,1600.002.01,2022-11-13 00:17:20.0,null,'202211122330382389152219,Y,
70046,CO11320084,1600.002.01,2022-11-13 13:33:32.0,null,'202211122328412389146639,N,
70047,COCC11134003,1600.002.01,2022-11-13 02:26:26.0,null,'202211122330392389152321,N,
70048,COCC11134004,1600.002.01,2022-11-13 00:19:55.0,null,'202211122336202389160691,Y,
70049,COCC11134004,1600.002.01,2022-11-13 00:19:55.0,null,'202211122336202389160691,Y,
70050,COCC11134004,1600.002.01,2022-11-13 00:19:55.0,null,'202211122336202389160691,Y,
70051,COCC11134005,1600.002.01,2022-11-13 00:14:10.0,null,'202211122332402389157333,Y,
70052,COCC11134005,1600.002.01,2022-11-13 00:14:10.0,null,'202211122332402389157333,Y,
70053,COCC11134006,1600.002.02,2022-11-13 01:12:14.0,null,'202211122336212389160794,Y,
70054,COCC11134006,1600.002.02,2022-11-13 01:12:14.0,null,'202211122336212389160794,Y,
70055,COCC11134007,9000,2022-11-12 23:35:59.0,null,'202211122332402389157367,Y,
70056,COCC11134007,9000,2022-11-12 23:35:59.0,null,'202211122332402389157367,Y,
70057,COCC11134007,9000,2022-11-13 01:29:12.0,null,'202211122337512389161837,N,
70058,COCC11134007,9000,2022-11-13 01:29:12.0,null,'202211122337512389161837,N,
