data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
10001,COCC11030330,1600.002.01,2022-10-03 03:41:00.0,null,'202210030125122189762284,Y,
10002,COCC11030331,1600.002.01,2022-10-03 02:21:28.0,null,'202210030123062189753687,Y,
10003,COCC11030331,1600.002.01,2022-10-03 02:21:28.0,null,'202210030123062189753687,Y,
10004,COCC11030332,1600.002.01,2022-10-03 02:15:44.0,null,'202210030121112189752475,Y,
10005,COCC11030333,1600.002.01,2022-10-03 04:23:44.0,null,'202210030120162189746891,Y,
10006,Y100115495,1100,2022-10-06 19:28:43.0,null,'202210030115122189736210,N,
10007,COCC11030334,1600.002.01,2022-10-03 03:00:38.0,null,'202210030120182189747333,Y,
10008,COCC11030334,1600.002.01,2022-10-03 03:00:38.0,null,'202210030120182189747333,Y,
10009,CO11256110,1600.002.01,2022-10-03 02:56:09.0,null,'202210030118392189740035,Y,
10010,CO11256110,1600.002.01,2022-10-03 02:56:09.0,null,'202210030118392189740035,Y,
10011,CO11256110,1600.002.01,2022-10-03 02:56:09.0,null,'202210030118392189740035,Y,
10012,CO11256109,1600.002.01,2022-10-03 02:34:47.0,null,'202210030118402189740113,Y,
10013,CO11256109,1600.002.01,2022-10-03 02:34:47.0,null,'202210030118402189740113,Y,
10014,CO11256108,1600.002.01,2022-10-03 13:11:34.0,null,'202210030118402189740151,Y,
10015,COCC11030337,1600.002.01,2022-10-03 04:11:16.0,null,'202210030124052189758165,Y,
10016,COCC11030338,1600.002.01,2022-10-03 02:40:30.0,null,'202210030125132189762351,Y,
10017,Y100115496,1500.1000,2022-10-03 01:20:48.0,null,'202210030120482189749511,N,
10018,Y100115496,1500.1000,2022-10-03 01:20:48.0,null,'202210030120482189749511,N,
10019,CO11256048,1600.002.01,2022-10-03 01:43:02.0,null,'202210030123062189753713,Y,
10020,CO11256048,1600.002.01,2022-10-03 01:43:02.0,null,'202210030123062189753713,Y,
10021,CO11256112,1600.002.01,2022-10-03 03:37:06.0,null,'202210030125082189761250,Y,
10022,CO11256112,1600.002.01,2022-10-03 03:37:06.0,null,'202210030125082189761250,Y,
10023,CO11256111,1600.002.01,2022-10-03 13:35:27.0,null,'202210030125082189761309,Y,
10024,COCC11030340,1600.002.02,2022-10-03 03:48:31.0,null,'202210030130052189775132,Y,
10025,COCC11030340,1600.002.02,2022-10-03 03:48:31.0,null,'202210030130052189775132,Y,
10026,CO11256115,1600.002.01,2022-10-03 08:28:15.0,null,'202210030129052189773300,N,
10027,CO11256116,1600.002.01,2022-10-03 02:20:42.0,null,'202210030129062189773317,Y,
10028,CO11256114,1600.002.01,2022-10-03 12:37:01.0,null,'202210030129062189773334,Y,
10029,CO11256113,1600.002.01,2022-10-03 14:15:36.0,null,'202210030129062189773352,N,
10030,CO11256049,1600.002.01,2022-10-03 02:13:43.0,null,'202210030129062189773373,Y,
10031,CO11256049,1600.002.01,2022-10-03 02:13:43.0,null,'202210030129062189773373,Y,
10032,CO11256049,1600.002.01,2022-10-03 02:13:43.0,null,'202210030129062189773373,Y,
10033,COCC11030341,1600.002.01,2022-10-03 02:11:49.0,null,'202210030131052189782684,N,
10034,CO11256052,1600.002.01,2022-10-03 05:35:43.0,null,'202210030130062189775275,N,
10035,CO11256052,1600.002.01,2022-10-03 05:35:43.0,null,'202210030130062189775275,N,
10036,CO11256052,1600.002.01,2022-10-03 05:35:43.0,null,'202210030130062189775275,N,
10037,CO11256051,1600.002.01,2022-10-03 01:48:15.0,null,'202210030130062189775225,Y,
10038,CO11256120,1600.002.01,2022-10-03 02:04:15.0,null,'202210030133052189784572,Y,
10039,CO11256053,1600.002.01,2022-10-03 13:15:09.0,null,'202210030133052189784591,Y,
10040,CO11256118,1600.002.01,2022-10-03 08:27:27.0,null,'202210030133062189784611,N,
10041,CO11256118,1600.002.01,2022-10-03 08:27:27.0,null,'202210030133062189784611,N,
10042,COCC11030342,1600.002.01,2022-10-03 04:25:49.0,null,'202210030139322189798345,Y,
10043,CO11256058,1600.002.01,2022-10-03 03:56:41.0,null,'202210030135562189790260,Y,
10044,CO11256055,1600.002.01,2022-10-03 02:18:54.0,null,'202210030135562189790280,N,
10045,CO11256121,1600.002.01,2022-10-03 08:44:28.0,null,'202210030135562189790299,N,
10046,CO11256123,1600.002.01,2022-10-03 11:21:28.0,null,'202210030139322189798381,Y,
10047,CO11256056,9000,2022-10-03 14:15:06.0,null,'202210030139322189798406,N,
10048,CO11256054,1600.002.01,2022-10-03 12:56:37.0,null,'202210030139322189798425,Y,
10049,CO11256119,1600.002.01,2022-10-03 03:28:24.0,null,'202210030139332189798452,N,
10050,CO11256124,1600.002.01,2022-10-03 02:12:48.0,null,'202210030139332189798471,Y,
10051,CO11256059,1600.002.01,2022-10-03 03:55:56.0,null,'202210030139332189798490,Y,
10052,COCC11030345,1600.002.01,2022-10-03 03:07:27.0,null,'202210030141512189806790,Y,
10053,Y100115497,1600,2022-10-03 01:40:33.0,null,'202210030138362189797154,N,
10054,COCC11030346,1600.002.01,2022-10-03 08:20:10.0,null,'202210030145542189819609,N,
10055,COCC11030347,1600.002.01,2022-10-03 02:16:59.0,null,'202210030147552189825488,Y,
10056,COCC11030347,1600.002.01,2022-10-03 02:16:59.0,null,'202210030147552189825488,Y,
10057,COCC11030347,1600.002.01,2022-10-03 02:16:59.0,null,'202210030147552189825488,Y,
10058,COCC11030347,1600.002.01,2022-10-03 02:16:59.0,null,'202210030147552189825488,Y,
10059,CO11256127,1600.002.01,2022-10-03 21:45:58.0,null,'202210030143482189809034,N,
10060,CO11256063,1600.002.01,2022-10-03 14:02:00.0,null,'202210030143482189809090,N,
10061,CO11256062,1600.002.01,2022-10-03 02:47:46.0,null,'202210030143482189809123,Y,
10062,CO11256125,1600.002.01,2022-10-03 02:23:57.0,null,'202210030143482189809158,Y,
10063,Y100115498,1100,2022-10-06 19:28:47.0,null,'202210030143352189807881,N,
10064,CO11256130,1600.002.02,2022-10-03 14:56:18.0,null,'202210030145552189819788,Y,
10065,CO11256130,1600.002.02,2022-10-03 14:56:18.0,null,'202210030145552189819788,Y,
10066,CO11256129,1600.002.01,2022-10-03 02:23:01.0,null,'202210030145552189819842,Y,
10067,CO11256064,1600.002.01,2022-10-03 05:21:21.0,null,'202210030145552189819906,Y,
10068,CO11256133,1600.002.01,2022-10-03 02:49:35.0,null,'202210030146102189822006,Y,
10069,CO11256132,1600.002.01,2022-10-03 05:30:10.0,null,'202210030146102189822023,N,
10070,CO11256067,1600.002.01,2022-10-03 02:41:23.0,null,'202210030146102189822065,Y,
10071,CO11256067,1600.002.01,2022-10-03 02:41:23.0,null,'202210030146102189822065,Y,
10072,CO11256131,1600.002.01,2022-10-03 04:17:42.0,null,'202210030146102189822040,N,
10073,COCC11030348,1600.002.01,2022-10-03 02:38:46.0,null,'202210030153572189838772,Y,
10074,COCC11030348,1600.002.01,2022-10-03 02:38:46.0,null,'202210030153572189838772,Y,
10075,COCC11030348,1600.002.01,2022-10-03 02:38:46.0,null,'202210030153572189838772,Y,
10076,COCC11030351,9000,2022-10-03 02:19:06.0,null,'202210030215332189891596,N,
10077,COCC11030351,9000,2022-10-03 02:19:06.0,null,'202210030215332189891596,N,
10078,COCC11030352,1600.002.01,2022-10-04 01:09:23.0,null,'202210030152052189835222,Y,
10079,COCC11030353,1600.002.01,2022-10-03 02:35:50.0,null,'202210030156122189845195,Y,
10080,COCC11030353,1600.002.01,2022-10-03 02:35:50.0,null,'202210030156122189845195,Y,
10081,COCC11030353,1600.002.01,2022-10-03 02:35:50.0,null,'202210030156122189845195,Y,
10082,COCC11030355,1600.002.01,2022-10-03 04:35:09.0,null,'202210030156112189845140,Y,
10083,COCC11030355,1600.002.01,2022-10-03 04:35:09.0,null,'202210030156112189845140,Y,
10084,COCC11030356,1600.002.01,2022-10-04 01:10:05.0,null,'202210030156112189845120,Y,
10085,CO11256069,1600.002.01,2022-10-03 02:33:17.0,null,'202210030153582189839015,Y,
10086,COCC11030357,1600.002.01,2022-10-04 00:21:46.0,null,'202210030156122189845167,N,
10087,COCC11030357,1600.002.01,2022-10-04 00:21:46.0,null,'202210030156122189845167,N,
10088,COCC11030358,1600.002.01,2022-10-03 14:18:12.0,null,'202210030156052189844376,Y,
10089,CO11256072,1600.002.01,2022-10-03 04:47:01.0,null,'202210030156002189843857,N,
10090,CO11256072,1600.002.01,2022-10-03 04:47:01.0,null,'202210030156002189843857,N,
10091,CO11256070,1600.002.01,2022-10-03 02:19:17.0,null,'202210030155592189843831,Y,
10092,CO11256070,1600.002.01,2022-10-03 02:19:17.0,null,'202210030155592189843831,Y,
10093,CO11256134,1600.002.01,2022-10-03 02:33:24.0,null,'202210030156002189843883,N,
10094,CO11256134,1600.002.01,2022-10-03 02:33:24.0,null,'202210030156002189843883,N,
10095,COCC11030359,1600.002.01,2022-10-04 00:25:27.0,null,'202210030200482189858402,Y,
10096,COCC11030359,1600.002.01,2022-10-04 00:25:27.0,null,'202210030200482189858402,Y,
10097,COCC11030360,1600.002.01,2022-10-03 14:46:49.0,null,'202210030200542189860837,Y,
10098,COCC11030361,1600.002.02,2022-10-03 06:03:50.0,null,'202210030201042189862668,Y,
10099,CO11256074,1600.002.01,2022-10-03 13:01:12.0,null,'202210030157542189845933,Y,
10100,CO11256073,1600.002.01,2022-10-03 15:41:17.0,null,'202210030157542189845952,Y,
10101,CO11256071,1600.002.01,2022-10-03 02:23:43.0,null,'202210030157552189845972,N,
10102,CO11256137,1600.002.01,2022-10-03 07:37:15.0,null,'202210030157552189845991,Y,
10103,CO11256175,1600.002.01,2022-10-03 02:50:23.0,null,'202210030200492189859071,Y,
10104,CO11256175,1600.002.01,2022-10-03 02:50:23.0,null,'202210030200492189859071,Y,
10105,CO11256175,1600.002.01,2022-10-03 02:50:23.0,null,'202210030200492189859071,Y,
10106,CO11256139,9000,2022-10-03 02:08:35.0,null,'202210030202422189863234,Y,
10107,CO11256139,9000,2022-10-03 02:08:35.0,null,'202210030202422189863234,Y,
10108,CO11256139,1600.002.01,2022-10-03 12:35:33.0,null,'202210030411412190215468,N,
10109,CO11256139,1600.002.01,2022-10-03 12:35:33.0,null,'202210030411412190215468,N,
10110,CO11256138,1600.002.01,2022-10-03 07:02:45.0,null,'202210030202422189863269,Y,
10111,CO11256138,1600.002.01,2022-10-03 07:02:45.0,null,'202210030202422189863269,Y,
10112,CO11256140,1600.002.01,2022-10-03 11:20:31.0,null,'202210030206352189871492,Y,
10113,COCC11030362,1600.002.01,2022-10-03 03:28:58.0,null,'202210030211462189884709,Y,
10114,COCC11030362,1600.002.01,2022-10-03 03:28:58.0,null,'202210030211462189884709,Y,
10115,COCC11030362,1600.002.01,2022-10-03 03:28:58.0,null,'202210030211462189884709,Y,
10116,COCC11030362,1600.002.01,2022-10-03 03:28:58.0,null,'202210030211462189884709,Y,
10117,CO11256145,1600.002.01,2022-10-03 06:00:35.0,null,'202210030208392189874057,Y,
10118,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10119,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10120,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10121,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10122,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10123,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10124,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10125,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10126,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10127,CO11256144,1600.002.01,2022-10-03 03:31:04.0,null,'202210030208392189874085,Y,
10128,COCC11030363,1600.002.01,2022-10-03 06:25:02.0,null,'202210030211532189885626,Y,
10129,COCC11030364,1600.002.01,2022-10-03 06:05:46.0,null,'202210030232052189934975,Y,
10130,COCC11030364,1600.002.01,2022-10-03 06:05:46.0,null,'202210030232052189934975,Y,
10131,COCC11030364,1600.002.01,2022-10-03 06:05:46.0,null,'202210030232052189934975,Y,
10132,COCC11030364,1600.002.01,2022-10-03 06:05:46.0,null,'202210030232052189934975,Y,
10133,COCC11030364,1600.002.01,2022-10-03 06:05:46.0,null,'202210030232052189934975,Y,
10134,COCC11030365,1600.002.01,2022-10-03 08:19:18.0,null,'202210030211462189884662,Y,
10135,CO11256146,1600.002.01,2022-10-03 05:55:28.0,null,'202210030210162189879815,Y,
10136,CO11256143,1600.002.01,2022-10-03 02:23:54.0,null,'202210030210162189879835,N,
10137,CO11256143,1600.002.01,2022-10-03 02:23:54.0,null,'202210030210162189879835,N,
10138,COCC11030367,1600.002.02,2022-10-03 04:24:59.0,null,'202210030215332189891621,Y,
10139,COCC11030368,1600.002.01,2022-10-04 00:27:03.0,null,'202210030219442189900739,Y,
10140,COCC11030369,1600.002.02,2022-10-03 16:01:29.0,null,'202210030219442189900774,Y,
