data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
120001,COCC11010299,1600.002.01,2022-09-24 17:04:15.0,null,'202209241629562155569305,N,
120002,COCC11010299,1600.002.01,2022-09-24 17:04:15.0,null,'202209241629562155569305,N,
120003,CO11242642,1600.002.01,2022-09-24 16:57:42.0,null,'202209241625562155560741,N,
120004,COCC11010300,1600.002.01,2022-09-24 17:12:58.0,null,'202209241627542155564803,Y,
120005,COCC11010302,1600.002.01,2022-09-24 17:28:15.0,null,'202209241655142155638322,N,
120006,CO11242643,1600.002.01,2022-09-24 17:27:10.0,null,'202209241627542155564822,Y,
120007,CO11242714,1600.002.01,2022-09-24 16:59:50.0,null,'202209241627552155564843,N,
120008,CO11242713,1600.002.01,2022-09-24 16:49:58.0,null,'202209241627552155564864,N,
120009,CO11242718,1600.002,2022-09-24 16:29:49.0,null,'202209241627552155564884,Y,
120010,CO11242715,1600.002.01,2022-09-24 16:56:44.0,null,'202209241627552155564906,N,
120011,CO11242715,1600.002.01,2022-09-24 16:56:44.0,null,'202209241627552155564906,N,
120012,CO11242715,1600.002.01,2022-09-24 16:56:44.0,null,'202209241627552155564906,N,
120013,Y100114121,1600,2022-09-24 19:42:10.0,null,'202209241628172155565766,N,
120014,Y100114121,1600,2022-09-24 19:42:10.0,null,'202209241628172155565766,N,
120015,Y100114121,1600,2022-09-24 19:42:10.0,null,'202209241628172155565766,N,
120016,Y100114121,1600,2022-09-24 19:42:10.0,null,'202209241628172155565766,N,
120017,Y100114121,1600,2022-09-24 19:42:10.0,null,'202209241628172155565766,N,
120018,Y100114121,1600,2022-09-24 19:42:10.0,null,'202209241628172155565766,N,
120019,CO11242646,1600.002.01,2022-09-24 16:51:39.0,null,'202209241629562155569377,Y,
120020,CO11242646,1600.002.01,2022-09-24 16:51:39.0,null,'202209241629562155569377,Y,
120021,CO11242719,1600.002.01,2022-09-24 17:00:39.0,null,'202209241629572155569411,Y,
120022,COCC11010304,1600.002.02,2022-09-24 17:02:51.0,null,'202209241637532155592173,Y,
120023,COCC11010305,1600.002.01,2022-09-24 17:12:00.0,null,'202209241633532155584599,N,
120024,COCC11010305,1600.002.01,2022-09-24 17:12:00.0,null,'202209241633532155584599,N,
120025,COCC11010306,1600.002.01,2022-09-24 17:02:21.0,null,'202209241633522155584499,Y,
120026,COCC11010309,1600.002.01,2022-09-24 17:27:31.0,null,'202209241635522155587391,Y,
120027,COCC11010309,1600.002.01,2022-09-24 17:27:31.0,null,'202209241635522155587391,Y,
120028,COCC11010309,1600.002.01,2022-09-24 17:27:31.0,null,'202209241635522155587391,Y,
120029,COCC11010310,1600.002.01,2022-09-24 23:36:59.0,null,'202209241637532155592095,Y,
