data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
80001,CO10972303,'202204112116361487525578,3700.1000,2022-04-11 21:37:05.0,bautista.maria_m,OMSRESTAPIUSER,'202204112119131487532758,MU,COCV_551,saavedra.rodney_m,
80002,CO10972303,'202204112116361487525578,3700.2000,2022-04-11 21:42:24.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112119131487532758,MU,COCV_551,saavedra.rodney_m,
80003,CO10972304,'202204112118361487531022,3350.1000,2022-04-11 21:20:22.0,DifarmaConsolidateToShipmentAgentServer,guerrero.edwin_m,'202204112120221487538875,MU,COCV_424,guerrero.edwin_m,
80004,CO10972304,'202204112118361487531022,3350.1500,2022-04-11 21:37:17.0,guerrero.edwin_m,guerrero.edwin_m,'202204112120221487538875,MU,COCV_424,guerrero.edwin_m,
80005,CO10972304,'202204112118361487531022,3350.1500.1000,2022-04-11 21:37:33.0,guerrero.edwin_m,guerrero.edwin_m,'202204112120221487538875,MU,COCV_424,guerrero.edwin_m,
80006,CO10972304,'202204112118361487531022,3700.1000,2022-04-11 21:53:07.0,guerrero.edwin_m,OMSRESTAPIUSER,'202204112120221487538875,MU,COCV_424,guerrero.edwin_m,
80007,CO10972304,'202204112118361487531022,3700.2000,2022-04-11 21:59:36.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112120221487538875,MU,COCV_424,guerrero.edwin_m,
80008,CO10972305,'202204112118361487531004,3350.1000,2022-04-11 21:20:21.0,DifarmaConsolidateToShipmentAgentServer,osso.osmary_m,'202204112120211487538763,MU,COCV_688,osso.osmary_m,
80009,CO10972305,'202204112118361487531004,3350.1500,2022-04-11 21:23:28.0,osso.osmary_m,osso.osmary_m,'202204112120211487538763,MU,COCV_688,osso.osmary_m,
80010,CO10972305,'202204112118361487531004,3350.1500.1000,2022-04-11 21:23:28.0,osso.osmary_m,osso.osmary_m,'202204112120211487538763,MU,COCV_688,osso.osmary_m,
80011,CO10972305,'202204112118361487531004,3700.1000,2022-04-11 21:31:58.0,osso.osmary_m,OMSRESTAPIUSER,'202204112120211487538763,MU,COCV_688,osso.osmary_m,
80012,CO10972305,'202204112118361487531004,3700.2000,2022-04-11 21:40:39.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112120211487538763,MU,COCV_688,osso.osmary_m,
80013,CO10972306,'202204112121351487546323,3350.1000,2022-04-11 21:23:20.0,DifarmaConsolidateToShipmentAgentServer,molina.maydi_m,'202204112123191487551054,MU,COCV_551,molina.maydi_m,
80014,CO10972306,'202204112121351487546323,3350.1500,2022-04-11 21:24:14.0,molina.maydi_m,molina.maydi_m,'202204112123191487551054,MU,COCV_551,molina.maydi_m,
80015,CO10972306,'202204112121351487546323,3350.1500.1000,2022-04-11 21:24:20.0,molina.maydi_m,molina.maydi_m,'202204112123191487551054,MU,COCV_551,molina.maydi_m,
80016,CO10972306,'202204112121351487546323,3700.1000,2022-04-11 21:31:02.0,molina.maydi_m,OMSRESTAPIUSER,'202204112123191487551054,MU,COCV_551,molina.maydi_m,
80017,CO10972306,'202204112121351487546323,3700.2000,2022-04-11 21:37:06.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112123191487551054,MU,COCV_551,molina.maydi_m,
80018,CO10972308,'202204112123351487551504,3350.1000,2022-04-11 21:25:19.0,DifarmaConsolidateToShipmentAgentServer,quinteroh.nidia_m,'202204112125191487557512,MU,COCV_739,quinteroh.nidia_m,
80019,CO10972308,'202204112123351487551504,3350.1500,2022-04-11 21:32:16.0,quinteroh.nidia_m,quinteroh.nidia_m,'202204112125191487557512,MU,COCV_739,quinteroh.nidia_m,
80020,CO10972308,'202204112123351487551504,3350.1500.1000,2022-04-11 21:32:17.0,quinteroh.nidia_m,medina.johanna_m,'202204112125191487557512,MU,COCV_739,quinteroh.nidia_m,
80021,CO10972308,'202204112123351487551504,3700.1000,2022-04-11 21:34:24.0,medina.johanna_m,OMSRESTAPIUSER,'202204112125191487557512,MU,COCV_739,quinteroh.nidia_m,
80022,CO10972308,'202204112123351487551504,3700.2000,2022-04-11 21:45:32.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112125191487557512,MU,COCV_739,quinteroh.nidia_m,
80023,CO10972309,'202204112126401487560151,3350.1000,2022-04-11 21:28:19.0,DifarmaConsolidateToShipmentAgentServer,quimbaya.argenis_m,'202204112128191487564394,MU,COCV_401,quimbaya.argenis_m,
80024,CO10972309,'202204112126401487560151,3350.1500,2022-04-11 21:29:51.0,quimbaya.argenis_m,quimbaya.argenis_m,'202204112128191487564394,MU,COCV_401,quimbaya.argenis_m,
80025,CO10972309,'202204112126401487560151,3350.1500.1000,2022-04-11 21:29:52.0,quimbaya.argenis_m,caicedo.jackeline_m,'202204112128191487564394,MU,COCV_401,quimbaya.argenis_m,
80026,CO10972309,'202204112126401487560151,3700.1000,2022-04-11 22:57:08.0,caicedo.jackeline_m,OMSRESTAPIUSER,'202204112128191487564394,MU,COCV_401,quimbaya.argenis_m,
80027,CO10972309,'202204112126401487560151,3700.2000,2022-04-12 03:06:09.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112128191487564394,MU,COCV_401,quimbaya.argenis_m,
80028,CO10972310,'202204112126391487560067,3350.1000,2022-04-11 21:28:19.0,DifarmaConsolidateToShipmentAgentServer,quilindo.heider_m,'202204112128191487564362,MU,COCV_181,quilindo.heider_m,
80029,CO10972310,'202204112126391487560067,3350.1500,2022-04-11 21:34:44.0,quilindo.heider_m,quilindo.heider_m,'202204112128191487564362,MU,COCV_181,quilindo.heider_m,
80030,CO10972310,'202204112126391487560067,3350.1500.1000,2022-04-11 21:34:44.0,quilindo.heider_m,quilindo.heider_m,'202204112128191487564362,MU,COCV_181,quilindo.heider_m,
80031,CO10972310,'202204112126391487560067,3700.1000,2022-04-12 01:25:27.0,quilindo.heider_m,OMSRESTAPIUSER,'202204112128191487564362,MU,COCV_181,quilindo.heider_m,
80032,CO10972310,'202204112126391487560067,3700.2000,2022-04-12 03:27:36.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202204112128191487564362,MU,COCV_181,quilindo.heider_m,
80033,CO10972311,'202204112126391487560039,3350.1000,2022-04-11 21:28:19.0,DifarmaConsolidateToShipmentAgentServer,ibarra.diana_m,'202204112128191487564327,MU,COCV_816,ibarra.diana_m,
80034,CO10972311,'202204112126391487560039,3350.1500,2022-04-11 21:30:00.0,ibarra.diana_m,ibarra.diana_m,'202204112128191487564327,MU,COCV_816,ibarra.diana_m,
80035,CO10972311,'202204112126391487560039,3350.1500.1000,2022-04-11 21:30:01.0,ibarra.diana_m,ibarra.diana_m,'202204112128191487564327,MU,COCV_816,ibarra.diana_m,
