data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
230001,COCC10896923,'202208040110081933561776,3350.1500,2022-08-04 01:15:21.0,riano.heidy_m,riano.heidy_m,'202208040114131933576076,MU,COCV_391,riano.heidy_m,
230002,COCC10896923,'202208040110081933561776,3350.1500.1000,2022-08-04 01:15:30.0,riano.heidy_m,riano.heidy_m,'202208040114131933576076,MU,COCV_391,riano.heidy_m,
230003,COCC10896923,'202208040110081933561776,3700.1000,2022-08-04 01:36:38.0,riano.heidy_m,OMSRESTAPIUSER,'202208040114131933576076,MU,COCV_391,riano.heidy_m,
230004,COCC10896923,'202208040110081933561776,3700.2000,2022-08-04 02:04:02.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202208040114131933576076,MU,COCV_391,riano.heidy_m,
230005,COCC10896929,'202208040111101933570012,3350.1000,2022-08-04 01:14:14.0,DifarmaConsolidateToShipmentAgentServer,caicedo.darnelly_m,'202208040114141933576140,MU,COCV_816,caicedo.darnelly_m,
230006,COCC10896929,'202208040111101933570012,3350.1500,2022-08-04 01:14:58.0,caicedo.darnelly_m,caicedo.darnelly_m,'202208040114141933576140,MU,COCV_816,caicedo.darnelly_m,
230007,COCC10896929,'202208040111101933570012,3350.1500.1000,2022-08-04 01:14:59.0,caicedo.darnelly_m,caicedo.darnelly_m,'202208040114141933576140,MU,COCV_816,caicedo.darnelly_m,
230008,COCC10896929,'202208040111101933570012,3700.1000,2022-08-04 01:21:46.0,caicedo.darnelly_m,OMSRESTAPIUSER,'202208040114141933576140,MU,COCV_816,caicedo.darnelly_m,
230009,COCC10896929,'202208040111101933570012,3700.2000,2022-08-04 01:56:34.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202208040114141933576140,MU,COCV_816,caicedo.darnelly_m,
230010,COCC10896934,'202208040112191933572280,3350.1000,2022-08-04 01:20:14.0,DifarmaConsolidateToShipmentAgentServer,londono.leidy_m,'202208040120141933588017,MU,COCV_556,londono.leidy_m,
230011,COCC10896934,'202208040112191933572280,3350.1500,2022-08-04 01:25:45.0,londono.leidy_m,londono.leidy_m,'202208040120141933588017,MU,COCV_556,londono.leidy_m,
