data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
100001,CO10828960,'202201160106361177044168,3700.1000,2022-01-16 01:23:22.0,garay.claudia_m,OMSRESTAPIUSER,'202201160108151177045384,MU,COCV_411,garay.claudia_m,
100002,CO10828960,'202201160106361177044168,3700.2000,2022-01-16 01:31:31.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202201160108151177045384,MU,COCV_411,garay.claudia_m,
100003,CO10828961,'202201160108381177045565,1400,2022-01-16 01:26:46.0,valencia.karem_m,valencia.karem_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100004,CO10828961,'202201160108381177045565,1400,2022-01-16 01:26:46.0,valencia.karem_m,valencia.karem_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100005,CO10828961,'202201160108381177045565,1400,2022-01-16 01:26:46.0,valencia.karem_m,valencia.karem_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100006,CO10828961,'202201160108381177045565,1400,2022-01-16 01:26:51.0,valencia.karem_m,valencia.karem_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100007,CO10828961,'202201160108381177045565,1400,2022-01-16 01:26:51.0,valencia.karem_m,valencia.karem_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100008,CO10828961,'202201160108381177045565,1400,2022-01-16 01:26:51.0,valencia.karem_m,valencia.karem_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100009,CO10828961,'202201160108381177045565,3350.1000,2022-01-16 01:10:16.0,DifarmaConsolidateToShipmentAgentServer,valencia.karem_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100010,CO10828961,'202201160108381177045565,3350.1000,2022-01-16 01:10:16.0,DifarmaConsolidateToShipmentAgentServer,valencia.karem_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100011,CO10828961,'202201160108381177045565,3350.1000,2022-01-16 01:10:16.0,DifarmaConsolidateToShipmentAgentServer,valencia.karem_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100012,CO10828961,'202201160108381177045565,3350.1000,2022-01-17 11:58:16.0,DifarmaConsolidateToShipmentAgentServer,parra.angi_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100013,CO10828961,'202201160108381177045565,3350.1000,2022-01-17 11:58:16.0,DifarmaConsolidateToShipmentAgentServer,parra.angi_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100014,CO10828961,'202201160108381177045565,3350.1000,2022-01-17 11:58:16.0,DifarmaConsolidateToShipmentAgentServer,parra.angi_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100015,CO10828961,'202201160108381177045565,3350.1000,2022-01-17 11:59:16.0,DifarmaConsolidateToShipmentAgentServer,sanchez.ivan_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100016,CO10828961,'202201160108381177045565,3350.1000,2022-01-17 11:59:16.0,DifarmaConsolidateToShipmentAgentServer,sanchez.ivan_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100017,CO10828961,'202201160108381177045565,3350.1000,2022-01-17 11:59:16.0,DifarmaConsolidateToShipmentAgentServer,sanchez.ivan_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100018,CO10828961,'202201160108381177045565,3350.1500,2022-01-17 12:01:22.0,sanchez.ivan_m,sanchez.ivan_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100019,CO10828961,'202201160108381177045565,3350.1500,2022-01-17 12:01:22.0,sanchez.ivan_m,sanchez.ivan_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100020,CO10828961,'202201160108381177045565,3350.1500,2022-01-17 12:01:22.0,sanchez.ivan_m,sanchez.ivan_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100021,CO10828961,'202201160108381177045565,3350.1500,2022-01-17 12:04:45.0,parra.angi_m,parra.angi_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100022,CO10828961,'202201160108381177045565,3350.1500,2022-01-17 12:04:45.0,parra.angi_m,parra.angi_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100023,CO10828961,'202201160108381177045565,3350.1500,2022-01-17 12:04:45.0,parra.angi_m,parra.angi_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100024,CO10828961,'202201160108381177045565,3350.1500.1000,2022-01-17 12:01:39.0,sanchez.ivan_m,sanchez.ivan_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100025,CO10828961,'202201160108381177045565,3350.1500.1000,2022-01-17 12:01:39.0,sanchez.ivan_m,sanchez.ivan_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100026,CO10828961,'202201160108381177045565,3350.1500.1000,2022-01-17 12:01:39.0,sanchez.ivan_m,sanchez.ivan_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100027,CO10828961,'202201160108381177045565,3350.1500.1000,2022-01-17 12:04:55.0,parra.angi_m,martinez.willian_m,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100028,CO10828961,'202201160108381177045565,3350.1500.1000,2022-01-17 12:04:55.0,parra.angi_m,martinez.willian_m,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100029,CO10828961,'202201160108381177045565,3350.1500.1000,2022-01-17 12:04:55.0,parra.angi_m,martinez.willian_m,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100030,CO10828961,'202201160108381177045565,3700.1000,2022-01-27 16:55:10.0,martinez.willian_m,pfwAdm,'202201160110161177049054,MU,COCV_381,valencia.karem_m,
100031,CO10828961,'202201160108381177045565,3700.1000,2022-01-27 16:55:10.0,martinez.willian_m,pfwAdm,'202201171158151181534215,MU,COCV_190,parra.angi_m,
100032,CO10828961,'202201160108381177045565,3700.1000,2022-01-27 16:55:10.0,martinez.willian_m,pfwAdm,'202201171159161181534670,MU,COCV_268,sanchez.ivan_m,
100033,CO10828962,'202201160108381177045543,1400,2022-01-16 01:33:03.0,DifarmaShipmentMonitorAgentCO,DifarmaShipmentMonitorAgentCO,'202201160110151177048813,MU,COCV_545,null,
100034,CO10828962,'202201160108381177045543,3350.1000,2022-01-16 01:10:15.0,DifarmaConsolidateToShipmentAgentServer,DifarmaShipmentMonitorAgentCO,'202201160110151177048813,MU,COCV_545,null,
100035,CO10828962,'202201160108381177045543,9000,2022-01-16 01:34:03.0,DifarmaScheduleSalesOrderAgent,DifarmaScheduleSalesOrderAgent,'202201160110151177048813,MU,COCV_545,null,
100036,CO10828964,'202201160111361177051962,1400,2022-01-16 01:19:34.0,maestre.deisy_m,maestre.deisy_m,'202201160113151177053189,MU,COCV_190,maestre.deisy_m,
100037,CO10828964,'202201160111361177051962,1400,2022-01-16 01:19:34.0,maestre.deisy_m,maestre.deisy_m,'202201160121151177063723,MU,COCV_171,null,
100038,CO10828964,'202201160111361177051962,1400,2022-01-16 01:19:40.0,maestre.deisy_m,maestre.deisy_m,'202201160113151177053189,MU,COCV_190,maestre.deisy_m,
