data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
130001,CO10890950,'202202210001331308873698,3350.1500,2022-02-21 00:07:18.0,sanchez.armando_m,sanchez.armando_m,'202202210002331308877025,MU,COCV_381,sanchez.armando_m,
130002,CO10890950,'202202210001331308873698,3350.1500.1000,2022-02-21 00:07:33.0,sanchez.armando_m,sanchez.armando_m,'202202210002331308877025,MU,COCV_381,sanchez.armando_m,
130003,CO10890950,'202202210001331308873698,3700.1000,2022-02-21 00:30:08.0,sanchez.armando_m,OMSRESTAPIUSER,'202202210002331308877025,MU,COCV_381,sanchez.armando_m,
130004,CO10890950,'202202210001331308873698,3700.2000,2022-02-21 00:51:29.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202202210002331308877025,MU,COCV_381,sanchez.armando_m,
130005,CO10890951,'202202210001331308873681,3350.1000,2022-02-21 00:02:33.0,DifarmaConsolidateToShipmentAgentServer,mahecha.jasbrudy_m,'202202210002331308876995,MU,COCV_549,mahecha.jasbrudy_m,
130006,CO10890951,'202202210001331308873681,3350.1500,2022-02-21 00:03:32.0,mahecha.jasbrudy_m,mahecha.jasbrudy_m,'202202210002331308876995,MU,COCV_549,mahecha.jasbrudy_m,
130007,CO10890951,'202202210001331308873681,3350.1500.1000,2022-02-21 00:03:33.0,mahecha.jasbrudy_m,mahecha.jasbrudy_m,'202202210002331308876995,MU,COCV_549,mahecha.jasbrudy_m,
130008,CO10890951,'202202210001331308873681,3700.1000,2022-02-21 00:11:05.0,mahecha.jasbrudy_m,OMSRESTAPIUSER,'202202210002331308876995,MU,COCV_549,mahecha.jasbrudy_m,
130009,CO10890951,'202202210001331308873681,3700.2000,2022-02-21 00:19:28.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202202210002331308876995,MU,COCV_549,mahecha.jasbrudy_m,
130010,CO10890952,'202202210006401308881717,3350.1000,2022-02-21 00:08:33.0,DifarmaConsolidateToShipmentAgentServer,mahecha.jasbrudy_m,'202202210008331308883765,MU,COCV_549,mahecha.jasbrudy_m,
130011,CO10890952,'202202210006401308881717,3350.1500,2022-02-21 00:09:25.0,mahecha.jasbrudy_m,mahecha.jasbrudy_m,'202202210008331308883765,MU,COCV_549,mahecha.jasbrudy_m,
