data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
290001,COCC10856197,'202207142308111853195327,3700.1000,2022-07-14 23:27:40.0,polo.vinasco_m,OMSRESTAPIUSER,'202207142317131853218835,MU,COCV_816,polo.vinasco_m,
290002,COCC10856197,'202207142308111853195327,3700.2000,2022-07-15 00:27:48.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202207142317131853218835,MU,COCV_816,polo.vinasco_m,
290003,COCC10856198,'202207142308451853196663,1400,2022-07-14 23:33:36.0,jimenez.Paola_m,jimenez.Paola_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290004,COCC10856198,'202207142308451853196663,3350.1000,2022-07-14 23:18:46.0,DifarmaConsolidateToShipmentAgentServer,jimenez.Paola_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290005,COCC10856198,'202207142308451853196663,3350.1500,2022-07-14 23:33:40.0,jimenez.Paola_m,jimenez.Paola_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290006,COCC10856198,'202207142308451853196663,3350.1500.1000,2022-07-14 23:33:40.0,jimenez.Paola_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290007,COCC10856198,'202207142308451853196663,3700.01,2022-07-15 16:28:45.0,suarez.jessica_bk,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290008,COCC10856198,'202207142308451853196663,3700.02,2022-07-15 16:44:20.0,burbano.marinela_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290009,COCC10856198,'202207142308451853196663,3700.02,2022-07-15 16:44:27.0,burbano.marinela_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290010,COCC10856198,'202207142308451853196663,3700.02,2022-07-15 16:44:34.0,burbano.marinela_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290011,COCC10856198,'202207142308451853196663,3700.02,2022-07-15 16:44:46.0,burbano.marinela_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290012,COCC10856198,'202207142308451853196663,3700.02,2022-07-15 16:45:17.0,burbano.marinela_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290013,COCC10856198,'202207142308451853196663,3700.02,2022-07-15 16:45:29.0,burbano.marinela_m,burbano.marinela_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290014,COCC10856198,'202207142308451853196663,3700.1000,2022-07-15 13:14:29.0,burbano.marinela_m,OMSRESTAPIUSER,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290015,COCC10856198,'202207142308451853196663,9000,2022-07-14 23:33:38.0,jimenez.Paola_m,jimenez.Paola_m,'202207142318461853221156,MU,COCV_578,jimenez.Paola_m,
290016,COCC10856199,'202207142309011853197201,3350.1000,2022-07-14 23:13:14.0,DifarmaConsolidateToShipmentAgentServer,feliciano.jennifer_m,'202207142313141853211552,MU,COCV_190,feliciano.jennifer_m,
290017,COCC10856199,'202207142309011853197201,3350.1500,2022-07-14 23:14:02.0,feliciano.jennifer_m,feliciano.jennifer_m,'202207142313141853211552,MU,COCV_190,feliciano.jennifer_m,
290018,COCC10856199,'202207142309011853197201,3350.1500.1000,2022-07-14 23:14:03.0,feliciano.jennifer_m,marcelo.yuvely_m,'202207142313141853211552,MU,COCV_190,feliciano.jennifer_m,
290019,COCC10856199,'202207142309011853197201,3700.1000,2022-07-14 23:49:57.0,marcelo.yuvely_m,OMSRESTAPIUSER,'202207142313141853211552,MU,COCV_190,feliciano.jennifer_m,
290020,COCC10856199,'202207142309011853197201,3700.2000,2022-07-15 01:27:48.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202207142313141853211552,MU,COCV_190,feliciano.jennifer_m,
