data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
1,CO11048992,'202206011531371677167259,3350.1000,2022-06-01 15:32:38.0,DifarmaConsolidateToShipmentAgentServer,garcia.danialeany_m,'202206011532381677173684,MU,COCV_881,garcia.danialeany_m,
2,CO11048992,'202206011531371677167259,3350.1500,2022-06-01 15:33:12.0,garcia.danialeany_m,garcia.danialeany_m,'202206011532381677173684,MU,COCV_881,garcia.danialeany_m,
3,CO11048992,'202206011531371677167259,3350.1500.1000,2022-06-01 15:33:33.0,garcia.danialeany_m,garcia.danialeany_m,'202206011532381677173684,MU,COCV_881,garcia.danialeany_m,
4,CO11048992,'202206011531371677167259,3700.1000,2022-06-01 16:33:35.0,garcia.danialeany_m,OMSRESTAPIUSER,'202206011532381677173684,MU,COCV_881,garcia.danialeany_m,
5,CO11048992,'202206011531371677167259,3700.2000,2022-06-01 16:50:40.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202206011532381677173684,MU,COCV_881,garcia.danialeany_m,
6,CO11049007,'202206011406341676631520,3350.1000,2022-06-01 14:08:27.0,DifarmaConsolidateToShipmentAgentServer,fonseca.yissel_m,'202206011408271676641733,MU,COCV_739,fonseca.yissel_m,
7,CO11049007,'202206011406341676631520,3350.1500,2022-06-01 14:19:49.0,fonseca.yissel_m,fonseca.yissel_m,'202206011408271676641733,MU,COCV_739,fonseca.yissel_m,
8,CO11049007,'202206011406341676631520,3350.1500.1000,2022-06-01 14:19:54.0,fonseca.yissel_m,loaiza.elizabeth_m,'202206011408271676641733,MU,COCV_739,fonseca.yissel_m,
9,CO11049007,'202206011406341676631520,3700.01,2022-06-01 15:04:33.0,DifarmaHubCreateDelRejectReturnServer,loaiza.elizabeth_m,'202206011408271676641733,MU,COCV_739,fonseca.yissel_m,
10,CO11049007,'202206011406341676631520,3700.02,2022-06-13 17:46:31.0,loaiza.elizabeth_m,loaiza.elizabeth_m,'202206011408271676641733,MU,COCV_739,fonseca.yissel_m,
11,CO11049007,'202206011406341676631520,3700.1000,2022-06-01 14:34:28.0,loaiza.elizabeth_m,OMSRESTAPIUSER,'202206011408271676641733,MU,COCV_739,fonseca.yissel_m,
12,CO11049010,'202206011531371677167219,3350.1000,2022-06-01 15:32:38.0,DifarmaConsolidateToShipmentAgentServer,roa.julio_m,'202206011532371677173601,MU,COCV_156,roa.julio_m,
13,CO11049010,'202206011531371677167219,3350.1500,2022-06-01 15:36:48.0,roa.julio_m,roa.julio_m,'202206011532371677173601,MU,COCV_156,roa.julio_m,
14,CO11049010,'202206011531371677167219,3350.1500.1000,2022-06-01 15:36:49.0,roa.julio_m,arce.angie_m,'202206011532371677173601,MU,COCV_156,roa.julio_m,
15,CO11049010,'202206011531371677167219,3700.1000,2022-06-01 17:42:47.0,arce.angie_m,OMSRESTAPIUSER,'202206011532371677173601,MU,COCV_156,roa.julio_m,
16,CO11049010,'202206011531371677167219,3700.2000,2022-06-02 01:54:24.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202206011532371677173601,MU,COCV_156,roa.julio_m,
