data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
290001,COCC10599226,'202203152041001394325356,3700.1000,2022-03-15 21:19:42.0,ibarra.diana_m,OMSRESTAPIUSER,'202203152047591394334932,MU,COCV_816,ibarra.diana_m,
290002,COCC10599226,'202203152041001394325356,3700.2000,2022-03-15 21:43:56.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202203152047591394334932,MU,COCV_816,ibarra.diana_m,
290003,COCC10599229,'202203152042341394328630,3350.1000,2022-03-15 20:46:58.0,DifarmaConsolidateToShipmentAgentServer,leon.laura_m,'202203152046581394334161,MU,COCV_825,leon.laura_m,
290004,COCC10599229,'202203152042341394328630,3350.1500,2022-03-15 20:50:12.0,leon.laura_m,leon.laura_m,'202203152046581394334161,MU,COCV_825,leon.laura_m,
290005,COCC10599229,'202203152042341394328630,3350.1500.1000,2022-03-15 20:50:13.0,leon.laura_m,leon.laura_m,'202203152046581394334161,MU,COCV_825,leon.laura_m,
290006,COCC10599229,'202203152042341394328630,3700.1000,2022-03-15 21:39:38.0,leon.laura_m,OMSRESTAPIUSER,'202203152046581394334161,MU,COCV_825,leon.laura_m,
290007,COCC10599229,'202203152042341394328630,3700.2000,2022-03-15 23:37:30.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202203152046581394334161,MU,COCV_825,leon.laura_m,
290008,COCC10599230,'202203152043141394329315,3350.1000,2022-03-15 20:49:59.0,DifarmaConsolidateToShipmentAgentServer,gonzalez.laura_m,'202203152049581394337113,MU,COCV_394,gonzalez.laura_m,
290009,COCC10599230,'202203152043141394329315,3350.1500,2022-03-15 20:51:48.0,gonzalez.laura_m,gonzalez.laura_m,'202203152049581394337113,MU,COCV_394,gonzalez.laura_m,
290010,COCC10599230,'202203152043141394329315,3350.1500.1000,2022-03-15 20:51:49.0,gonzalez.laura_m,gonzalez.laura_m,'202203152049581394337113,MU,COCV_394,gonzalez.laura_m,
