data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
100001,COCC10695404,'202205011744471552948745,3350.1500,2022-05-01 17:52:48.0,herrera.edinson_m,herrera.edinson_m,'202205011748191552950415,MU,COCV_577,herrera.edinson_m,
100002,COCC10695404,'202205011744471552948745,3350.1500.1000,2022-05-01 17:52:49.0,herrera.edinson_m,escobar.diana_m,'202205011748191552950415,MU,COCV_577,herrera.edinson_m,
100003,COCC10695404,'202205011744471552948745,3700.1000,2022-05-01 19:19:09.0,escobar.diana_m,OMSRESTAPIUSER,'202205011748191552950415,MU,COCV_577,herrera.edinson_m,
100004,COCC10695404,'202205011744471552948745,3700.2000,2022-05-02 18:23:22.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011748191552950415,MU,COCV_577,herrera.edinson_m,
100005,COCC10695406,'202205011746461552949913,3350.1000,2022-05-01 17:51:50.0,DifarmaConsolidateToShipmentAgentServer,vega.amparo_m,'202205011751491552956442,MU,COCV_816,vega.amparo_m,
100006,COCC10695406,'202205011746461552949913,3350.1500,2022-05-01 17:52:37.0,vega.amparo_m,vega.amparo_m,'202205011751491552956442,MU,COCV_816,vega.amparo_m,
100007,COCC10695406,'202205011746461552949913,3350.1500.1000,2022-05-01 17:52:37.0,vega.amparo_m,florez.sirley_m,'202205011751491552956442,MU,COCV_816,vega.amparo_m,
100008,COCC10695406,'202205011746461552949913,3700.1000,2022-05-01 18:01:08.0,florez.sirley_m,OMSRESTAPIUSER,'202205011751491552956442,MU,COCV_816,vega.amparo_m,
100009,COCC10695406,'202205011746461552949913,3700.2000,2022-05-01 18:26:49.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011751491552956442,MU,COCV_816,vega.amparo_m,
100010,COCC10695407,'202205011748311552950555,3350.1000,2022-05-01 17:51:50.0,DifarmaConsolidateToShipmentAgentServer,aldana.paula_m,'202205011751501552956471,MU,COCV_578,aldana.paula_m,
100011,COCC10695407,'202205011748311552950555,3350.1500,2022-05-01 18:06:41.0,aldana.paula_m,aldana.paula_m,'202205011751501552956471,MU,COCV_578,aldana.paula_m,
100012,COCC10695407,'202205011748311552950555,3350.1500.1000,2022-05-01 18:06:42.0,aldana.paula_m,ramos.edwin_bi,'202205011751501552956471,MU,COCV_578,aldana.paula_m,
100013,COCC10695407,'202205011748311552950555,9000,2022-05-01 18:15:10.0,ramos.edwin_bi,ramos.edwin_bi,'202205011751501552956471,MU,COCV_578,aldana.paula_m,
100014,COCC10695409,'202205011754531552957732,3350.1000,2022-05-01 18:01:04.0,DifarmaConsolidateToShipmentAgentServer,guerrero.angelamaria_m,'202205011801041552964905,MU,COCV_229,guerrero.angelamaria_m,
100015,COCC10695409,'202205011754531552957732,3350.1500,2022-05-01 18:01:39.0,guerrero.angelamaria_m,guerrero.angelamaria_m,'202205011801041552964905,MU,COCV_229,guerrero.angelamaria_m,
100016,COCC10695409,'202205011754531552957732,3350.1500.1000,2022-05-01 18:01:39.0,guerrero.angelamaria_m,guerrero.angelamaria_m,'202205011801041552964905,MU,COCV_229,guerrero.angelamaria_m,
100017,COCC10695409,'202205011754531552957732,3700.1000,2022-05-01 19:18:03.0,guerrero.angelamaria_m,OMSRESTAPIUSER,'202205011801041552964905,MU,COCV_229,guerrero.angelamaria_m,
100018,COCC10695409,'202205011754531552957732,3700.2000,2022-05-01 20:02:47.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011801041552964905,MU,COCV_229,guerrero.angelamaria_m,
100019,COCC10695411,'202205011755311552957972,3350.1000,2022-05-01 18:01:05.0,DifarmaConsolidateToShipmentAgentServer,guerrero.edwin_m,'202205011801041552964961,MU,COCV_424,guerrero.edwin_m,
100020,COCC10695411,'202205011755311552957972,3350.1500,2022-05-01 18:03:10.0,guerrero.edwin_m,guerrero.edwin_m,'202205011801041552964961,MU,COCV_424,guerrero.edwin_m,
100021,COCC10695411,'202205011755311552957972,3350.1500.1000,2022-05-01 18:03:22.0,guerrero.edwin_m,guerrero.edwin_m,'202205011801041552964961,MU,COCV_424,guerrero.edwin_m,
100022,COCC10695411,'202205011755311552957972,3700.1000,2022-05-01 18:14:40.0,guerrero.edwin_m,OMSRESTAPIUSER,'202205011801041552964961,MU,COCV_424,guerrero.edwin_m,
100023,COCC10695411,'202205011755311552957972,3700.2000,2022-05-01 20:35:25.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011801041552964961,MU,COCV_424,guerrero.edwin_m,
100024,COCC10695413,'202205011759021552959576,3350.1000,2022-05-01 18:04:13.0,DifarmaConsolidateToShipmentAgentServer,arenas.jenny_m,'202205011804131552966527,MU,COCV_411,arenas.jenny_m,
100025,COCC10695413,'202205011759021552959576,3350.1500,2022-05-01 18:10:00.0,arenas.jenny_m,arenas.jenny_m,'202205011804131552966527,MU,COCV_411,arenas.jenny_m,
100026,COCC10695413,'202205011759021552959576,3350.1500.1000,2022-05-01 18:10:01.0,arenas.jenny_m,arenas.jenny_m,'202205011804131552966527,MU,COCV_411,arenas.jenny_m,
100027,COCC10695413,'202205011759021552959576,3700.1000,2022-05-01 18:18:57.0,arenas.jenny_m,OMSRESTAPIUSER,'202205011804131552966527,MU,COCV_411,arenas.jenny_m,
100028,COCC10695413,'202205011759021552959576,3700.2000,2022-05-01 18:40:17.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011804131552966527,MU,COCV_411,arenas.jenny_m,
100029,COCC10695415,'202205011801461552965408,3350.1000,2022-05-01 18:06:56.0,DifarmaConsolidateToShipmentAgentServer,caicedo.darnelly_m,'202205011806561552968376,MU,COCV_816,caicedo.darnelly_m,
100030,COCC10695415,'202205011801461552965408,3350.1500,2022-05-01 18:11:30.0,caicedo.darnelly_m,caicedo.darnelly_m,'202205011806561552968376,MU,COCV_816,caicedo.darnelly_m,
100031,COCC10695415,'202205011801461552965408,3350.1500.1000,2022-05-01 18:11:31.0,caicedo.darnelly_m,caicedo.darnelly_m,'202205011806561552968376,MU,COCV_816,caicedo.darnelly_m,
100032,COCC10695415,'202205011801461552965408,3700.1000,2022-05-01 18:28:55.0,caicedo.darnelly_m,OMSRESTAPIUSER,'202205011806561552968376,MU,COCV_816,caicedo.darnelly_m,
100033,COCC10695415,'202205011801461552965408,3700.2000,2022-05-01 18:54:56.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011806561552968376,MU,COCV_816,caicedo.darnelly_m,
100034,COCC10695416,'202205011802221552965568,3350.1000,2022-05-01 18:05:20.0,DifarmaConsolidateToShipmentAgentServer,aldana.paula_m,'202205011805201552967445,MU,COCV_578,aldana.paula_m,
100035,COCC10695416,'202205011802221552965568,3350.1500,2022-05-01 18:08:04.0,aldana.paula_m,aldana.paula_m,'202205011805201552967445,MU,COCV_578,aldana.paula_m,
100036,COCC10695416,'202205011802221552965568,3350.1500.1000,2022-05-01 18:08:04.0,aldana.paula_m,aldana.paula_m,'202205011805201552967445,MU,COCV_578,aldana.paula_m,
100037,COCC10695416,'202205011802221552965568,3700.1000,2022-05-01 18:51:14.0,aldana.paula_m,OMSRESTAPIUSER,'202205011805201552967445,MU,COCV_578,aldana.paula_m,
100038,COCC10695416,'202205011802221552965568,3700.2000,2022-05-02 18:50:44.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011805201552967445,MU,COCV_578,aldana.paula_m,
100039,COCC10695422,'202205011807141552968561,3350.1000,2022-05-01 18:14:14.0,DifarmaConsolidateToShipmentAgentServer,lizarazo.liliana_m,'202205011814141552977750,MU,COCV_405,lizarazo.liliana_m,
100040,COCC10695422,'202205011807141552968561,3350.1500,2022-05-01 18:22:35.0,lizarazo.liliana_m,lizarazo.liliana_m,'202205011814141552977750,MU,COCV_405,lizarazo.liliana_m,
100041,COCC10695422,'202205011807141552968561,3350.1500.1000,2022-05-01 18:24:03.0,lizarazo.liliana_m,lizarazo.liliana_m,'202205011814141552977750,MU,COCV_405,lizarazo.liliana_m,
100042,COCC10695422,'202205011807141552968561,3700.1000,2022-05-01 19:47:43.0,lizarazo.liliana_m,OMSRESTAPIUSER,'202205011814141552977750,MU,COCV_405,lizarazo.liliana_m,
100043,COCC10695422,'202205011807141552968561,3700.2000,2022-05-01 20:19:46.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205011814141552977750,MU,COCV_405,lizarazo.liliana_m,
100044,COCC10695424,'202205011808181552969309,3350.1000,2022-05-01 18:11:59.0,DifarmaConsolidateToShipmentAgentServer,ospina.cindy_m,'202205011811591552976314,MU,COCV_881,ospina.cindy_m,
100045,COCC10695424,'202205011808181552969309,3350.1500,2022-05-01 18:12:51.0,ospina.cindy_m,ospina.cindy_m,'202205011811591552976314,MU,COCV_881,ospina.cindy_m,
