data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
70001,CO11317510,'202211111318372383071775,3700.2000,2022-11-11 14:31:44.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111320472383080150,MU,COCV_401,baron.yuly_m,
70002,CO11317511,'202211111318362383071756,3350.1000,2022-11-11 13:20:46.0,DifarmaConsolidateToShipmentAgentServer,escobar.diana_m,'202211111320462383080087,MU,COCV_577,escobar.diana_m,
70003,CO11317511,'202211111318362383071756,3350.1500,2022-11-11 13:22:29.0,escobar.diana_m,escobar.diana_m,'202211111320462383080087,MU,COCV_577,escobar.diana_m,
70004,CO11317511,'202211111318362383071756,3350.1500.1000,2022-11-11 13:22:30.0,escobar.diana_m,escobar.diana_m,'202211111320462383080087,MU,COCV_577,escobar.diana_m,
70005,CO11317511,'202211111318362383071756,3700.1000,2022-11-11 13:55:42.0,escobar.diana_m,OMSRESTAPIUSER,'202211111320462383080087,MU,COCV_577,escobar.diana_m,
70006,CO11317511,'202211111318362383071756,3700.2000,2022-11-11 15:05:28.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111320462383080087,MU,COCV_577,escobar.diana_m,
70007,CO11317512,'202211111321342383082930,3350.1000,2022-11-11 13:22:47.0,DifarmaConsolidateToShipmentAgentServer,perez.rosa_m,'202211111322472383084515,MU,COCV_666,perez.rosa_m,
70008,CO11317512,'202211111321342383082930,3350.1500,2022-11-11 13:25:21.0,perez.rosa_m,perez.rosa_m,'202211111322472383084515,MU,COCV_666,perez.rosa_m,
70009,CO11317512,'202211111321342383082930,3350.1500.1000,2022-11-11 13:25:22.0,perez.rosa_m,perez.rosa_m,'202211111322472383084515,MU,COCV_666,perez.rosa_m,
70010,CO11317512,'202211111321342383082930,3700.1000,2022-11-11 14:01:58.0,perez.rosa_m,OMSRESTAPIUSER,'202211111322472383084515,MU,COCV_666,perez.rosa_m,
70011,CO11317512,'202211111321342383082930,3700.2000,2022-11-11 14:37:09.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111322472383084515,MU,COCV_666,perez.rosa_m,
70012,CO11317513,'202211111326352383090952,3350.1000,2022-11-11 13:28:06.0,DifarmaConsolidateToShipmentAgentServer,diaz.derlyn_m,'202211111328062383092693,MU,COCV_782,diaz.derlyn_m,
70013,CO11317513,'202211111326352383090952,3350.1500,2022-11-11 13:37:28.0,diaz.derlyn_m,diaz.derlyn_m,'202211111328062383092693,MU,COCV_782,diaz.derlyn_m,
70014,CO11317513,'202211111326352383090952,3350.1500.1000,2022-11-11 13:37:29.0,diaz.derlyn_m,diaz.derlyn_m,'202211111328062383092693,MU,COCV_782,diaz.derlyn_m,
70015,CO11317513,'202211111326352383090952,3700.1000,2022-11-11 14:18:23.0,diaz.derlyn_m,OMSRESTAPIUSER,'202211111328062383092693,MU,COCV_782,diaz.derlyn_m,
70016,CO11317513,'202211111326352383090952,3700.2000,2022-11-11 14:27:03.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111328062383092693,MU,COCV_782,diaz.derlyn_m,
70017,CO11317514,'202211111326352383090959,1400,2022-11-11 13:32:30.0,aguilar.maria_m,aguilar.maria_m,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70018,CO11317514,'202211111326352383090959,1400,2022-11-11 13:32:30.0,aguilar.maria_m,aguilar.maria_m,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70019,CO11317514,'202211111326352383090959,1400,2022-11-11 13:32:31.0,aguilar.maria_m,aguilar.maria_m,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70020,CO11317514,'202211111326352383090959,1400,2022-11-11 13:32:31.0,aguilar.maria_m,aguilar.maria_m,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70021,CO11317514,'202211111326352383090959,3350.1000,2022-11-11 13:28:07.0,DifarmaConsolidateToShipmentAgentServer,aguilar.maria_m,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70022,CO11317514,'202211111326352383090959,3350.1000,2022-11-11 13:28:07.0,DifarmaConsolidateToShipmentAgentServer,aguilar.maria_m,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70023,CO11317514,'202211111326352383090959,3350.1000,2022-11-11 13:35:30.0,DifarmaConsolidateToShipmentAgentServer,orjuela.blanca_m,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70024,CO11317514,'202211111326352383090959,3350.1000,2022-11-11 13:35:30.0,DifarmaConsolidateToShipmentAgentServer,orjuela.blanca_m,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70025,CO11317514,'202211111326352383090959,3350.1500,2022-11-11 13:38:22.0,orjuela.blanca_m,orjuela.blanca_m,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70026,CO11317514,'202211111326352383090959,3350.1500,2022-11-11 13:38:22.0,orjuela.blanca_m,orjuela.blanca_m,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70027,CO11317514,'202211111326352383090959,3350.1500.1000,2022-11-11 13:38:22.0,orjuela.blanca_m,orjuela.blanca_m,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70028,CO11317514,'202211111326352383090959,3350.1500.1000,2022-11-11 13:38:22.0,orjuela.blanca_m,orjuela.blanca_m,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70029,CO11317514,'202211111326352383090959,3700.1000,2022-11-11 14:05:42.0,orjuela.blanca_m,OMSRESTAPIUSER,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70030,CO11317514,'202211111326352383090959,3700.1000,2022-11-11 14:05:42.0,orjuela.blanca_m,OMSRESTAPIUSER,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70031,CO11317514,'202211111326352383090959,3700.2000,2022-11-11 14:33:50.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111328062383092741,MU,COCV_262,aguilar.maria_m,
70032,CO11317514,'202211111326352383090959,3700.2000,2022-11-11 14:33:50.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111335302383113790,MU,COCV_411,orjuela.blanca_m,
70033,CO11317515,'202211111331332383106838,3350.1000,2022-11-11 13:33:32.0,DifarmaConsolidateToShipmentAgentServer,bello.luzary_m,'202211111333312383111324,MU,COCV_885,bello.luzary_m,
70034,CO11317515,'202211111331332383106838,3350.1500,2022-11-11 13:38:10.0,bello.luzary_m,bello.luzary_m,'202211111333312383111324,MU,COCV_885,bello.luzary_m,
70035,CO11317515,'202211111331332383106838,3350.1500.1000,2022-11-11 13:38:11.0,bello.luzary_m,bello.luzary_m,'202211111333312383111324,MU,COCV_885,bello.luzary_m,
