data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
1,CO11251818,'202210031303372191352562,3350.1000,2022-10-03 13:05:05.0,DifarmaConsolidateToShipmentAgentServer,amaya.amelie_m,'202210031305042191362182,MU,COCV_666,amaya.amelie_m,
2,CO11251818,'202210031303372191352562,3350.1500,2022-10-03 13:06:24.0,amaya.amelie_m,amaya.amelie_m,'202210031305042191362182,MU,COCV_666,amaya.amelie_m,
3,CO11251818,'202210031303372191352562,3350.1500.1000,2022-10-03 13:06:24.0,amaya.amelie_m,amaya.amelie_m,'202210031305042191362182,MU,COCV_666,amaya.amelie_m,
4,CO11251818,'202210031303372191352562,3700.1000,2022-10-03 14:33:00.0,amaya.amelie_m,OMSRESTAPIUSER,'202210031305042191362182,MU,COCV_666,amaya.amelie_m,
5,CO11251818,'202210031303372191352562,3700.2000,2022-10-03 14:56:37.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210031305042191362182,MU,COCV_666,amaya.amelie_m,
6,CO11252313,'202210031303362191352323,3350.1000,2022-10-03 13:05:04.0,DifarmaConsolidateToShipmentAgentServer,burbano.marinela_m,'202210031305042191362093,MU,COCV_578,burbano.marinela_m,
7,CO11252313,'202210031303362191352323,3350.1500,2022-10-03 13:08:38.0,burbano.marinela_m,burbano.marinela_m,'202210031305042191362093,MU,COCV_578,burbano.marinela_m,
8,CO11252313,'202210031303362191352323,3350.1500.1000,2022-10-03 13:08:38.0,burbano.marinela_m,jimenez.Paola_m,'202210031305042191362093,MU,COCV_578,burbano.marinela_m,
9,CO11252313,'202210031303362191352323,3700.1000,2022-10-03 13:18:51.0,jimenez.Paola_m,OMSRESTAPIUSER,'202210031305042191362093,MU,COCV_578,burbano.marinela_m,
10,CO11252313,'202210031303362191352323,3700.2000,2022-10-03 13:39:47.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210031305042191362093,MU,COCV_578,burbano.marinela_m,
11,CO11252509,'202210011505052185097192,3350.1000,2022-10-01 15:07:50.0,DifarmaConsolidateToShipmentAgentServer,acuna.kelly_m,'202210011507492185103924,MU,COCV_830,acuna.kelly_m,
12,CO11252509,'202210011505052185097192,3350.1500,2022-10-01 15:10:09.0,acuna.kelly_m,acuna.kelly_m,'202210011507492185103924,MU,COCV_830,acuna.kelly_m,
13,CO11252509,'202210011505052185097192,3350.1500.1000,2022-10-01 15:10:10.0,acuna.kelly_m,acuna.kelly_m,'202210011507492185103924,MU,COCV_830,acuna.kelly_m,
14,CO11252509,'202210011505052185097192,3700.1000,2022-10-01 15:22:17.0,acuna.kelly_m,OMSRESTAPIUSER,'202210011507492185103924,MU,COCV_830,acuna.kelly_m,
15,CO11252509,'202210011505052185097192,3700.2000,2022-10-01 15:27:09.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210011507492185103924,MU,COCV_830,acuna.kelly_m,
16,CO11252528,'202210011505042185097178,3350.1000,2022-10-01 15:07:49.0,DifarmaConsolidateToShipmentAgentServer,mottas.dania_m,'202210011507492185103873,MU,COCV_677,mottas.dania_m,
17,CO11252528,'202210011505042185097178,3350.1500,2022-10-01 15:09:26.0,mottas.dania_m,mottas.dania_m,'202210011507492185103873,MU,COCV_677,mottas.dania_m,
18,CO11252528,'202210011505042185097178,3350.1500.1000,2022-10-01 15:09:26.0,mottas.dania_m,mottas.dania_m,'202210011507492185103873,MU,COCV_677,mottas.dania_m,
19,CO11252528,'202210011505042185097178,3700.1000,2022-10-01 15:58:29.0,mottas.dania_m,OMSRESTAPIUSER,'202210011507492185103873,MU,COCV_677,mottas.dania_m,
20,CO11252528,'202210011505042185097178,3700.2000,2022-10-01 16:22:32.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210011507492185103873,MU,COCV_677,mottas.dania_m,
21,CO11252647,'202210011505042185097162,3350.1000,2022-10-01 15:07:50.0,DifarmaConsolidateToShipmentAgentServer,lopez.angiev_m,'202210011507502185103951,MU,COCV_578,lopez.angiev_m,
22,CO11252647,'202210011505042185097162,3350.1500,2022-10-01 15:09:19.0,lopez.angiev_m,lopez.angiev_m,'202210011507502185103951,MU,COCV_578,lopez.angiev_m,
23,CO11252647,'202210011505042185097162,3350.1500.1000,2022-10-01 15:09:19.0,lopez.angiev_m,lopez.angiev_m,'202210011507502185103951,MU,COCV_578,lopez.angiev_m,
24,CO11252647,'202210011505042185097162,3700.1000,2022-10-01 15:14:36.0,lopez.angiev_m,OMSRESTAPIUSER,'202210011507502185103951,MU,COCV_578,lopez.angiev_m,
25,CO11252647,'202210011505042185097162,3700.2000,2022-10-01 15:51:07.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210011507502185103951,MU,COCV_578,lopez.angiev_m,
26,CO11252666,'202210010001402183624840,3350.1000,2022-10-01 00:03:08.0,DifarmaConsolidateToShipmentAgentServer,cabezas.yuly_m,'202210010003082183630372,MU,COCV_262,cabezas.yuly_m,
27,CO11252666,'202210010001402183624840,3350.1500,2022-10-01 00:10:26.0,cabezas.yuly_m,cabezas.yuly_m,'202210010003082183630372,MU,COCV_262,cabezas.yuly_m,
28,CO11252666,'202210010001402183624840,3350.1500.1000,2022-10-01 00:10:27.0,cabezas.yuly_m,cabezas.yuly_m,'202210010003082183630372,MU,COCV_262,cabezas.yuly_m,
29,CO11252666,'202210010001402183624840,3700.1000,2022-10-01 00:40:58.0,cabezas.yuly_m,OMSRESTAPIUSER,'202210010003082183630372,MU,COCV_262,cabezas.yuly_m,
30,CO11252666,'202210010001402183624840,3700.2000,2022-10-01 01:00:51.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210010003082183630372,MU,COCV_262,cabezas.yuly_m,
31,CO11252668,'202210010001392183624814,3350.1000,2022-10-01 00:03:07.0,DifarmaConsolidateToShipmentAgentServer,junco.bearlys_m,'202210010003072183630258, ,COCV_825,junco.bearlys_m,
32,CO11252668,'202210010001392183624814,3350.3000,2022-10-01 00:04:19.0,junco.bearlys_m,gonzalez.reiney_m,'202210010003072183630258, ,COCV_825,junco.bearlys_m,
33,CO11252668,'202210010001392183624814,3700.1000,2022-10-01 21:23:38.0,gonzalez.reiney_m,gonzalez.reiney_m,'202210010003072183630258, ,COCV_825,junco.bearlys_m,
34,CO11252668,'202210010001392183624814,3700.3000,2022-10-01 21:23:39.0,gonzalez.reiney_m,gonzalez.reiney_m,'202210010003072183630258, ,COCV_825,junco.bearlys_m,
35,CO11252669,'202210010001392183624806,3350.1000,2022-10-01 00:03:07.0,DifarmaConsolidateToShipmentAgentServer,carreno.felix_m,'202210010003072183630321,MU,COCV_156,carreno.felix_m,
36,CO11252669,'202210010001392183624806,3350.1000,2022-10-01 00:03:08.0,DifarmaConsolidateToShipmentAgentServer,carreno.felix_m,'202210010003072183630321,MU,COCV_156,carreno.felix_m,
37,CO11252669,'202210010001392183624806,3350.1500,2022-10-01 00:04:37.0,carreno.felix_m,carreno.felix_m,'202210010003072183630321,MU,COCV_156,carreno.felix_m,
38,CO11252669,'202210010001392183624806,3350.1500.1000,2022-10-01 00:04:38.0,carreno.felix_m,carreno.felix_m,'202210010003072183630321,MU,COCV_156,carreno.felix_m,
39,CO11252669,'202210010001392183624806,3700.1000,2022-10-01 00:33:55.0,carreno.felix_m,OMSRESTAPIUSER,'202210010003072183630321,MU,COCV_156,carreno.felix_m,
40,CO11252669,'202210010001392183624806,3700.2000,2022-10-01 00:44:15.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210010003072183630321,MU,COCV_156,carreno.felix_m,
41,CO11252671,'202210011503382185092906,3350.1000,2022-10-01 15:05:33.0,DifarmaConsolidateToShipmentAgentServer,lozano.deyci_m,'202210011505332185098423,MU,COCV_832,lozano.deyci_m,
42,CO11252671,'202210011503382185092906,3350.1500,2022-10-01 15:09:34.0,lozano.deyci_m,lozano.deyci_m,'202210011505332185098423,MU,COCV_832,lozano.deyci_m,
43,CO11252671,'202210011503382185092906,3350.1500.1000,2022-10-01 15:09:34.0,lozano.deyci_m,lozano.deyci_m,'202210011505332185098423,MU,COCV_832,lozano.deyci_m,
44,CO11252671,'202210011503382185092906,3700.01,2022-10-01 15:34:58.0,DifarmaHubCreateDelRejectReturnServer,lozano.deyci_m,'202210011505332185098423,MU,COCV_832,lozano.deyci_m,
45,CO11252671,'202210011503382185092906,3700.02,2022-10-01 19:03:43.0,lozano.deyci_m,lozano.deyci_m,'202210011505332185098423,MU,COCV_832,lozano.deyci_m,
46,CO11252671,'202210011503382185092906,3700.1000,2022-10-01 15:24:46.0,lozano.deyci_m,OMSRESTAPIUSER,'202210011505332185098423,MU,COCV_832,lozano.deyci_m,
47,CO11252672,'202210010003382183632207,3350.1000,2022-10-01 00:04:54.0,DifarmaConsolidateToShipmentAgentServer,beltran.luz_m,'202210010004542183636578,MU,COCV_551,beltran.luz_m,
48,CO11252672,'202210010003382183632207,3350.1500,2022-10-01 00:07:50.0,beltran.luz_m,beltran.luz_m,'202210010004542183636578,MU,COCV_551,beltran.luz_m,
49,CO11252672,'202210010003382183632207,3350.1500.1000,2022-10-01 00:08:16.0,beltran.luz_m,beltran.luz_m,'202210010004542183636578,MU,COCV_551,beltran.luz_m,
50,CO11252672,'202210010003382183632207,3700.1000,2022-10-01 00:26:44.0,beltran.luz_m,OMSRESTAPIUSER,'202210010004542183636578,MU,COCV_551,beltran.luz_m,
51,CO11252672,'202210010003382183632207,3700.2000,2022-10-01 01:11:25.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210010004542183636578,MU,COCV_551,beltran.luz_m,
52,CO11252674,'202210010006412183639338,3350.1000,2022-10-01 00:08:58.0,DifarmaConsolidateToShipmentAgentServer,becerra.jenny_m,'202210010008582183643267,MU,COCV_181,becerra.jenny_m,
53,CO11252674,'202210010006412183639338,3350.1500,2022-10-01 00:11:12.0,becerra.jenny_m,becerra.jenny_m,'202210010008582183643267,MU,COCV_181,becerra.jenny_m,
54,CO11252674,'202210010006412183639338,3350.1500.1000,2022-10-01 00:11:15.0,becerra.jenny_m,becerra.jenny_m,'202210010008582183643267,MU,COCV_181,becerra.jenny_m,
55,CO11252674,'202210010006412183639338,3700.1000,2022-10-01 00:24:08.0,becerra.jenny_m,OMSRESTAPIUSER,'202210010008582183643267,MU,COCV_181,becerra.jenny_m,
56,CO11252674,'202210010006412183639338,3700.2000,2022-10-01 01:00:43.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210010008582183643267,MU,COCV_181,becerra.jenny_m,
57,CO11252746,'202210010001402183624833,3350.1000,2022-10-01 00:03:07.0,DifarmaConsolidateToShipmentAgentServer,rodriguez.olga_m,'202210010003072183630289,MU,COCV_688,rodriguez.olga_m,
58,CO11252746,'202210010001402183624833,3350.1500,2022-10-01 00:05:03.0,rodriguez.olga_m,rodriguez.olga_m,'202210010003072183630289,MU,COCV_688,rodriguez.olga_m,
59,CO11252746,'202210010001402183624833,3350.1500.1000,2022-10-01 00:06:54.0,rodriguez.olga_m,rodriguez.olga_m,'202210010003072183630289,MU,COCV_688,rodriguez.olga_m,
60,CO11252746,'202210010001402183624833,3700.1000,2022-10-01 00:22:53.0,rodriguez.olga_m,OMSRESTAPIUSER,'202210010003072183630289,MU,COCV_688,rodriguez.olga_m,
61,CO11252746,'202210010001402183624833,3700.2000,2022-10-01 00:36:29.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210010003072183630289,MU,COCV_688,rodriguez.olga_m,
62,CO11252748,'202210011505042185097154,3350.1000,2022-10-01 15:07:49.0,DifarmaConsolidateToShipmentAgentServer,lopez.angiev_m,'202210011507492185103893,MU,COCV_578,lopez.angiev_m,
63,CO11252748,'202210011505042185097154,3350.1500,2022-10-01 15:09:14.0,lopez.angiev_m,lopez.angiev_m,'202210011507492185103893,MU,COCV_578,lopez.angiev_m,
64,CO11252748,'202210011505042185097154,3350.1500.1000,2022-10-01 15:09:15.0,lopez.angiev_m,lopez.angiev_m,'202210011507492185103893,MU,COCV_578,lopez.angiev_m,
65,CO11252748,'202210011505042185097154,3700.1000,2022-10-01 15:14:41.0,lopez.angiev_m,OMSRESTAPIUSER,'202210011507492185103893,MU,COCV_578,lopez.angiev_m,
66,CO11252748,'202210011505042185097154,3700.2000,2022-10-01 16:19:09.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210011507492185103893,MU,COCV_578,lopez.angiev_m,
67,CO11252750,'202210010001392183624797,3350.1000,2022-10-01 00:03:07.0,DifarmaConsolidateToShipmentAgentServer,vidales.luis_m,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
68,CO11252750,'202210010001392183624797,3350.1500,2022-10-01 00:06:21.0,vidales.luis_m,vidales.luis_m,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
69,CO11252750,'202210010001392183624797,3350.1500.1000,2022-10-01 00:06:22.0,vidales.luis_m,vidales.luis_m,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
70,CO11252750,'202210010001392183624797,3700.01,2022-10-01 02:06:52.0,DifarmaHubCreateDelRejectReturnServer,vidales.luis_m,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
71,CO11252750,'202210010001392183624797,3700.02,2022-10-01 02:36:24.0,vidales.luis_m,vidales.luis_m,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
72,CO11252750,'202210010001392183624797,3700.02,2022-10-01 02:36:33.0,vidales.luis_m,vidales.luis_m,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
73,CO11252750,'202210010001392183624797,3700.1000,2022-10-01 00:46:37.0,vidales.luis_m,OMSRESTAPIUSER,'202210010003062183630211,MU,COCV_816,vidales.luis_m,
74,CO11252752,'202210010003382183632190,1400,2022-10-01 09:18:30.0,ulloa.estephany_m,ulloa.estephany_m,'202210010004542183636536,MU,COCV_190,ulloa.estephany_m,
75,CO11252752,'202210010003382183632190,1400,2022-10-01 09:18:30.0,ulloa.estephany_m,ulloa.estephany_m,'202210010920462184630766,MU,COCV_411,velasquez.yenny_m,
76,CO11252752,'202210010003382183632190,1400,2022-10-01 09:18:30.0,ulloa.estephany_m,ulloa.estephany_m,'202210011119562184680965,MU,COCV_468,alejo.jeimy_m,
77,CO11252752,'202210010003382183632190,1400,2022-10-01 09:18:32.0,ulloa.estephany_m,ulloa.estephany_m,'202210010004542183636536,MU,COCV_190,ulloa.estephany_m,
78,CO11252752,'202210010003382183632190,1400,2022-10-01 09:18:32.0,ulloa.estephany_m,ulloa.estephany_m,'202210010920462184630766,MU,COCV_411,velasquez.yenny_m,
79,CO11252752,'202210010003382183632190,1400,2022-10-01 09:18:32.0,ulloa.estephany_m,ulloa.estephany_m,'202210011119562184680965,MU,COCV_468,alejo.jeimy_m,
80,CO11252752,'202210010003382183632190,1400,2022-10-01 09:27:59.0,velasquez.yenny_m,velasquez.yenny_m,'202210010004542183636536,MU,COCV_190,ulloa.estephany_m,
81,CO11252752,'202210010003382183632190,1400,2022-10-01 09:27:59.0,velasquez.yenny_m,velasquez.yenny_m,'202210010920462184630766,MU,COCV_411,velasquez.yenny_m,
82,CO11252752,'202210010003382183632190,1400,2022-10-01 09:27:59.0,velasquez.yenny_m,velasquez.yenny_m,'202210011119562184680965,MU,COCV_468,alejo.jeimy_m,
83,CO11252752,'202210010003382183632190,1400,2022-10-01 09:28:00.0,velasquez.yenny_m,velasquez.yenny_m,'202210010004542183636536,MU,COCV_190,ulloa.estephany_m,
84,CO11252752,'202210010003382183632190,1400,2022-10-01 09:28:00.0,velasquez.yenny_m,velasquez.yenny_m,'202210010920462184630766,MU,COCV_411,velasquez.yenny_m,
85,CO11252752,'202210010003382183632190,1400,2022-10-01 09:28:00.0,velasquez.yenny_m,velasquez.yenny_m,'202210011119562184680965,MU,COCV_468,alejo.jeimy_m,
86,CO11252752,'202210010003382183632190,1400,2022-10-01 13:00:20.0,alejo.jeimy_m,alejo.jeimy_m,'202210010004542183636536,MU,COCV_190,ulloa.estephany_m,
