data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
320001,COCC10999593,'202209201912582136826482,3350.1500.1000,2022-09-20 19:23:44.0,pinedam.angie_m,pinedam.angie_m,'202209201918002136844487,MU,COCV_76,pinedam.angie_m,
320002,COCC10999593,'202209201912582136826482,3700.1000,2022-09-20 19:25:03.0,pinedam.angie_m,OMSRESTAPIUSER,'202209201918002136844487,MU,COCV_76,pinedam.angie_m,
320003,COCC10999593,'202209201912582136826482,3700.2000,2022-09-20 19:33:24.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201918002136844487,MU,COCV_76,pinedam.angie_m,
320004,COCC10999595,'202209201915052136834444,3350.1000,2022-09-20 19:21:50.0,DifarmaConsolidateToShipmentAgentServer,jimenez.Paola_m,'202209201921502136859983,MU,COCV_578,jimenez.Paola_m,
320005,COCC10999595,'202209201915052136834444,3350.1500,2022-09-20 19:22:46.0,jimenez.Paola_m,jimenez.Paola_m,'202209201921502136859983,MU,COCV_578,jimenez.Paola_m,
320006,COCC10999595,'202209201915052136834444,3350.1500.1000,2022-09-20 19:22:47.0,jimenez.Paola_m,jimenez.Paola_m,'202209201921502136859983,MU,COCV_578,jimenez.Paola_m,
320007,COCC10999595,'202209201915052136834444,3700.1000,2022-09-20 19:29:58.0,jimenez.Paola_m,OMSRESTAPIUSER,'202209201921502136859983,MU,COCV_578,jimenez.Paola_m,
320008,COCC10999595,'202209201915052136834444,3700.2000,2022-09-20 19:36:46.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201921502136859983,MU,COCV_578,jimenez.Paola_m,
320009,COCC10999596,'202209201915052136834480,3350.1000,2022-09-20 19:21:53.0,DifarmaConsolidateToShipmentAgentServer,castro.kelly_m,'202209201921532136860348,MU,COCV_162,castro.kelly_m,
320010,COCC10999596,'202209201915052136834480,3350.1500,2022-09-20 19:23:05.0,castro.kelly_m,castro.kelly_m,'202209201921532136860348,MU,COCV_162,castro.kelly_m,
320011,COCC10999596,'202209201915052136834480,3350.1500.1000,2022-09-20 19:23:16.0,castro.kelly_m,castro.kelly_m,'202209201921532136860348,MU,COCV_162,castro.kelly_m,
320012,COCC10999596,'202209201915052136834480,3700.1000,2022-09-20 20:14:44.0,castro.kelly_m,OMSRESTAPIUSER,'202209201921532136860348,MU,COCV_162,castro.kelly_m,
320013,COCC10999596,'202209201915052136834480,3700.2000,2022-09-20 21:57:18.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201921532136860348,MU,COCV_162,castro.kelly_m,
320014,COCC10999598,'202209201915242136835434,3350.1000,2022-09-20 19:21:47.0,DifarmaConsolidateToShipmentAgentServer,jimenez.Paola_m,'202209201921472136859701,MU,COCV_578,jimenez.Paola_m,
320015,COCC10999598,'202209201915242136835434,3350.1500,2022-09-20 19:23:32.0,jimenez.Paola_m,jimenez.Paola_m,'202209201921472136859701,MU,COCV_578,jimenez.Paola_m,
320016,COCC10999598,'202209201915242136835434,3350.1500.1000,2022-09-20 19:23:33.0,jimenez.Paola_m,jimenez.Paola_m,'202209201921472136859701,MU,COCV_578,jimenez.Paola_m,
320017,COCC10999598,'202209201915242136835434,3700.1000,2022-09-20 19:30:01.0,jimenez.Paola_m,OMSRESTAPIUSER,'202209201921472136859701,MU,COCV_578,jimenez.Paola_m,
320018,COCC10999598,'202209201915242136835434,3700.2000,2022-09-20 19:43:38.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201921472136859701,MU,COCV_578,jimenez.Paola_m,
320019,COCC10999599,'202209201915282136835593,1400,2022-09-20 19:23:26.0,hernandez.luz_m,hernandez.luz_m,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320020,COCC10999599,'202209201915282136835593,1400,2022-09-20 19:23:26.0,hernandez.luz_m,hernandez.luz_m,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320021,COCC10999599,'202209201915282136835593,1400,2022-09-20 19:23:30.0,hernandez.luz_m,hernandez.luz_m,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320022,COCC10999599,'202209201915282136835593,1400,2022-09-20 19:23:30.0,hernandez.luz_m,hernandez.luz_m,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320023,COCC10999599,'202209201915282136835593,3350.1000,2022-09-20 19:21:53.0,DifarmaConsolidateToShipmentAgentServer,hernandez.luz_m,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320024,COCC10999599,'202209201915282136835593,3350.1000,2022-09-20 19:21:53.0,DifarmaConsolidateToShipmentAgentServer,hernandez.luz_m,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320025,COCC10999599,'202209201915282136835593,3350.1000,2022-09-20 19:24:46.0,DifarmaConsolidateToShipmentAgentServer,ariza.rudby_m,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320026,COCC10999599,'202209201915282136835593,3350.1000,2022-09-20 19:24:46.0,DifarmaConsolidateToShipmentAgentServer,ariza.rudby_m,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320027,COCC10999599,'202209201915282136835593,3350.1500,2022-09-20 19:26:58.0,ariza.rudby_m,ariza.rudby_m,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320028,COCC10999599,'202209201915282136835593,3350.1500,2022-09-20 19:26:58.0,ariza.rudby_m,ariza.rudby_m,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320029,COCC10999599,'202209201915282136835593,3350.1500.1000,2022-09-20 19:26:59.0,ariza.rudby_m,ariza.rudby_m,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320030,COCC10999599,'202209201915282136835593,3350.1500.1000,2022-09-20 19:26:59.0,ariza.rudby_m,ariza.rudby_m,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320031,COCC10999599,'202209201915282136835593,3700.1000,2022-09-20 20:41:07.0,ariza.rudby_m,OMSRESTAPIUSER,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320032,COCC10999599,'202209201915282136835593,3700.1000,2022-09-20 20:41:07.0,ariza.rudby_m,OMSRESTAPIUSER,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320033,COCC10999599,'202209201915282136835593,3700.2000,2022-09-20 21:26:07.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201921532136860368,MU,COCV_391,hernandez.luz_m,
320034,COCC10999599,'202209201915282136835593,3700.2000,2022-09-20 21:26:07.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201924462136869737,MU,COCV_402,ariza.rudby_m,
320035,COCC10999600,'202209201915392136836181,3350.1000,2022-09-20 19:29:00.0,DifarmaConsolidateToShipmentAgentServer,castaneda.leydy_m,'202209201928592136881286,MU,COCV_677,castaneda.leydy_m,
320036,COCC10999600,'202209201915392136836181,3350.1500,2022-09-20 19:30:49.0,castaneda.leydy_m,castaneda.leydy_m,'202209201928592136881286,MU,COCV_677,castaneda.leydy_m,
320037,COCC10999600,'202209201915392136836181,3350.1500.1000,2022-09-20 19:30:51.0,castaneda.leydy_m,castaneda.leydy_m,'202209201928592136881286,MU,COCV_677,castaneda.leydy_m,
320038,COCC10999600,'202209201915392136836181,3700.1000,2022-09-20 20:20:18.0,castaneda.leydy_m,OMSRESTAPIUSER,'202209201928592136881286,MU,COCV_677,castaneda.leydy_m,
320039,COCC10999600,'202209201915392136836181,3700.2000,2022-09-20 20:42:43.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201928592136881286,MU,COCV_677,castaneda.leydy_m,
320040,COCC10999601,'202209201916552136840916,3350.1000,2022-09-20 19:28:59.0,DifarmaConsolidateToShipmentAgentServer,rodriguez.olga_m,'202209201928592136881248,MU,COCV_688,rodriguez.olga_m,
320041,COCC10999601,'202209201916552136840916,3350.1500,2022-09-20 19:31:34.0,rodriguez.olga_m,rodriguez.olga_m,'202209201928592136881248,MU,COCV_688,rodriguez.olga_m,
320042,COCC10999601,'202209201916552136840916,3350.1500.1000,2022-09-20 19:31:35.0,rodriguez.olga_m,alfonso.yenifer_m,'202209201928592136881248,MU,COCV_688,rodriguez.olga_m,
320043,COCC10999601,'202209201916552136840916,3700.1000,2022-09-20 19:50:43.0,alfonso.yenifer_m,OMSRESTAPIUSER,'202209201928592136881248,MU,COCV_688,rodriguez.olga_m,
320044,COCC10999601,'202209201916552136840916,3700.2000,2022-09-20 20:12:10.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201928592136881248,MU,COCV_688,rodriguez.olga_m,
320045,COCC10999602,'202209201917172136841978,3350.1000,2022-09-20 19:28:23.0,DifarmaConsolidateToShipmentAgentServer,jimenez.Paola_m,'202209201928232136878259,MU,COCV_578,jimenez.Paola_m,
320046,COCC10999602,'202209201917172136841978,3350.1500,2022-09-20 19:32:54.0,jimenez.Paola_m,jimenez.Paola_m,'202209201928232136878259,MU,COCV_578,jimenez.Paola_m,
320047,COCC10999602,'202209201917172136841978,3350.1500.1000,2022-09-20 19:32:55.0,jimenez.Paola_m,jimenez.Paola_m,'202209201928232136878259,MU,COCV_578,jimenez.Paola_m,
320048,COCC10999602,'202209201917172136841978,3700.1000,2022-09-20 19:58:45.0,jimenez.Paola_m,OMSRESTAPIUSER,'202209201928232136878259,MU,COCV_578,jimenez.Paola_m,
320049,COCC10999602,'202209201917172136841978,3700.2000,2022-09-20 20:30:36.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201928232136878259,MU,COCV_578,jimenez.Paola_m,
320050,COCC10999604,'202209201918262136845224,3350.1000,2022-09-20 19:24:45.0,DifarmaConsolidateToShipmentAgentServer,amaya.amelie_m,'202209201924452136869591,MU,COCV_666,amaya.amelie_m,
320051,COCC10999604,'202209201918262136845224,3350.1500,2022-09-20 19:25:58.0,amaya.amelie_m,amaya.amelie_m,'202209201924452136869591,MU,COCV_666,amaya.amelie_m,
320052,COCC10999604,'202209201918262136845224,3350.1500.1000,2022-09-20 19:25:59.0,amaya.amelie_m,amaya.amelie_m,'202209201924452136869591,MU,COCV_666,amaya.amelie_m,
320053,COCC10999604,'202209201918262136845224,3700.1000,2022-09-20 19:38:50.0,amaya.amelie_m,OMSRESTAPIUSER,'202209201924452136869591,MU,COCV_666,amaya.amelie_m,
320054,COCC10999604,'202209201918262136845224,3700.2000,2022-09-20 20:08:14.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201924452136869591,MU,COCV_666,amaya.amelie_m,
320055,COCC10999605,'202209201918312136845365,3350.1000,2022-09-20 19:27:02.0,DifarmaConsolidateToShipmentAgentServer,pinedam.angie_m,'202209201927012136875446,MU,COCV_76,pinedam.angie_m,
320056,COCC10999605,'202209201918312136845365,3350.1500,2022-09-20 19:30:23.0,pinedam.angie_m,pinedam.angie_m,'202209201927012136875446,MU,COCV_76,pinedam.angie_m,
320057,COCC10999605,'202209201918312136845365,3350.1500.1000,2022-09-20 19:30:33.0,pinedam.angie_m,pinedam.angie_m,'202209201927012136875446,MU,COCV_76,pinedam.angie_m,
320058,COCC10999605,'202209201918312136845365,3700.1000,2022-09-20 19:37:05.0,pinedam.angie_m,OMSRESTAPIUSER,'202209201927012136875446,MU,COCV_76,pinedam.angie_m,
320059,COCC10999605,'202209201918312136845365,3700.2000,2022-09-20 19:54:26.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201927012136875446,MU,COCV_76,pinedam.angie_m,
320060,COCC10999606,'202209201919162136847837,3350.1000,2022-09-20 19:28:59.0,DifarmaConsolidateToShipmentAgentServer,diaz.laura_m,'202209201928592136881216,MU,COCV_262,diaz.laura_m,
320061,COCC10999606,'202209201919162136847837,3350.1500,2022-09-20 19:31:42.0,diaz.laura_m,diaz.laura_m,'202209201928592136881216,MU,COCV_262,diaz.laura_m,
320062,COCC10999606,'202209201919162136847837,3350.1500.1000,2022-09-20 19:31:50.0,diaz.laura_m,diaz.laura_m,'202209201928592136881216,MU,COCV_262,diaz.laura_m,
320063,COCC10999606,'202209201919162136847837,3700.1000,2022-09-20 20:08:05.0,diaz.laura_m,OMSRESTAPIUSER,'202209201928592136881216,MU,COCV_262,diaz.laura_m,
320064,COCC10999606,'202209201919162136847837,3700.2000,2022-09-20 20:41:11.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201928592136881216,MU,COCV_262,diaz.laura_m,
320065,COCC10999607,'202209201919242136847988,3350.1000,2022-09-20 19:24:46.0,DifarmaConsolidateToShipmentAgentServer,guisao.heidy_m,'202209201924462136869697,MU,COCV_881,guisao.heidy_m,
320066,COCC10999607,'202209201919242136847988,3350.1500,2022-09-20 19:25:53.0,guisao.heidy_m,guisao.heidy_m,'202209201924462136869697,MU,COCV_881,guisao.heidy_m,
320067,COCC10999607,'202209201919242136847988,3350.1500.1000,2022-09-20 19:25:53.0,guisao.heidy_m,guisao.heidy_m,'202209201924462136869697,MU,COCV_881,guisao.heidy_m,
320068,COCC10999607,'202209201919242136847988,3700.1000,2022-09-20 19:32:30.0,guisao.heidy_m,OMSRESTAPIUSER,'202209201924462136869697,MU,COCV_881,guisao.heidy_m,
320069,COCC10999607,'202209201919242136847988,3700.2000,2022-09-20 20:20:50.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201924462136869697,MU,COCV_881,guisao.heidy_m,
320070,COCC10999608,'202209201919472136849006,3350.1000,2022-09-20 19:24:46.0,DifarmaConsolidateToShipmentAgentServer,munoz.carina_m,'202209201924462136869664,MU,COCV_577,munoz.carina_m,
320071,COCC10999608,'202209201919472136849006,3350.1500,2022-09-20 19:26:32.0,munoz.carina_m,munoz.carina_m,'202209201924462136869664,MU,COCV_577,munoz.carina_m,
320072,COCC10999608,'202209201919472136849006,3350.1500.1000,2022-09-20 19:26:33.0,munoz.carina_m,escobar.diana_m,'202209201924462136869664,MU,COCV_577,munoz.carina_m,
320073,COCC10999608,'202209201919472136849006,3700.1000,2022-09-20 22:45:00.0,escobar.diana_m,OMSRESTAPIUSER,'202209201924462136869664,MU,COCV_577,munoz.carina_m,
320074,COCC10999608,'202209201919472136849006,3700.2000,2022-09-21 02:25:36.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209201924462136869664,MU,COCV_577,munoz.carina_m,
320075,COCC10999609,'202209201919592136849181,3350.1000,2022-09-20 19:24:46.0,DifarmaConsolidateToShipmentAgentServer,rudas.luis_m,'202209201924452136869640,MU,COCV_551,rudas.luis_m,
320076,COCC10999609,'202209201919592136849181,3350.1500,2022-09-20 19:26:49.0,rudas.luis_m,rudas.luis_m,'202209201924452136869640,MU,COCV_551,rudas.luis_m,
320077,COCC10999609,'202209201919592136849181,3350.1500.1000,2022-09-20 19:26:50.0,rudas.luis_m,saavedra.rodney_m,'202209201924452136869640,MU,COCV_551,rudas.luis_m,
