data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
10001,COCC11247603,'202212251854492670631510,'202212251906082670646314,COCV_470,9000,2022-12-25 19:12:50.0,SHP,SHP,BO,herrera.geraldine_m,
10002,COCC11247603,'202212251854492670631510,'202212251914082670658385,COCV_185,9000,2022-12-25 19:15:06.0,SHP,SHP,null,solano.lilibeth_m,
10003,COCC11247628,'202212251906572670646804,'202212251910062670650031,COCV_90,9000,2022-12-25 19:13:32.0,SHP,SHP,BO,cardona.leidy_m,
10004,COCC11247636,'202212251912462670657259,'202212251916002670659852,COCV_21,9000,2022-12-25 19:36:21.0,SHP,SHP,null,null,
10005,COCC11247700,'202212251951512670707672,'202212251955212670710898,COCV_155,9000,2022-12-25 19:59:45.0,SHP,SHP,BO,lievano.sindy_m,
10006,COCC11247721,'202212252001202670722520,'202212252011102670736427,COCV_621,9000,2022-12-25 20:24:47.0,SHP,SHP,BO,cano.leidy_m,
10007,COCC11247723,'202212252001572670722834,'202212252009092670728406,COCV_688,9000,2022-12-25 20:09:54.0,SHP,SHP,BO,osso.osmary_m,
10008,COCC11247726,'202212252003382670724020,'202212252007082670726739,COCV_100,9000,2022-12-25 20:27:22.0,SHP,SHP,null,null,
10009,COCC11247728,'202212252003452670724028,'202212252009112670728541,COCV_896,9000,2022-12-25 20:29:22.0,SHP,SHP,null,null,
10010,COCC11247728,'202212252003452670724028,'202212252032542670763127,COCV_174,9000,2022-12-25 21:51:47.0,SHP,SHP,null,morantes.luis_m,
10011,COCC11247732,'202212252006402670726411,'202212252013072670737248,COCV_666,9000,2022-12-25 20:14:38.0,SHP,SHP,BO,munoz.valentina_m,
10012,COCC11247732,'202212252006402670726411,'202212252016552670740290,COCV_378,9000,2022-12-25 20:25:05.0,SHP,SHP,CNCL,sereno.zunilda_m,
10013,COCC11247732,'202212252006402670726411,'202212252324002670988484,COCV_825,9000,2022-12-26 02:52:13.0,SHP,SHP,null,beltran.jessica_m,
10014,COCC11247733,'202212252007482670727527,'202212252013072670737287,COCV_156,9000,2022-12-26 12:21:12.0,SHP,SHP,null,ventura.nataly_m,
10015,COCC11247745,'202212252016042670739888,'202212252018582670741618,COCV_621,9000,2022-12-25 20:29:33.0,SHP,SHP,null,gomez.luis_m,
10016,COCC11247764,'202212252022162670750095,'202212252026492670753407,COCV_155,9000,2022-12-25 20:40:33.0,SHP,SHP,CNCL,guevara.nataly_m,
10017,COCC11247782,'202212252036542670765843,'202212252059202670794155,COCV_556,9000,2022-12-25 21:03:22.0,SHP,SHP,BO,domico.leidy_m,
10018,COCC11247785,'202212252040012670767621,'202212252042312670775092,COCV_621,9000,2022-12-25 20:49:11.0,SHP,SHP,BO,gomez.luis_m,
10019,COCC11247794,'202212252043192670775929,'202212252052202670787857,COCV_76,9000,2022-12-25 20:54:49.0,SHP,SHP,BO,morales.daniel_m,
10020,COCC11247794,'202212252043192670775929,'202212252056202670791193,COCV_621,9000,2022-12-25 20:58:04.0,SHP,SHP,BO,gomez.luis_m,
