data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
1,CO11352837,'202212010001422501492181,'202212010003082501503925,COCV_262,9000,2022-12-01 00:04:44.0,SHP,SHP,BO,camacho.bryan_m,
2,CO11352854,'202212010006442501528419,'202212010008112501537377,COCV_556,9000,2022-12-01 00:19:20.0,SHP,SHP,null,herrera.laura_m,
3,CO11352859,'202212010011402501566021,'202212010013082501574394,COCV_392,9000,2022-12-01 00:16:12.0,SHP,SHP,BO,rojas.nicolas_m,
4,CO11352927,'202212010001432501492249,'202212010003092501504178,COCV_181,9000,2022-12-01 00:05:03.0,SHP,SHP,BO,becerra.jenny_m,
5,CO11352967,'202212010026462501665871,'202212010028112501675552,COCV_556,9000,2022-12-01 00:38:27.0,SHP,SHP,BO,varon.yulieth_m,
6,CO11352987,'202212010026462501665823,'202212010028092501675352,COCV_262,9000,2022-12-01 00:28:51.0,SHP,SHP,BO,camacho.bryan_m,
7,CO11352997,'202212010028402501678658,'202212010030082501688863,COCV_816,9000,2022-12-01 00:56:23.0,SHP,SHP,null,solis.kelly_m,
8,CO11352999,'202212010031402501704138,'202212010033092501712490,COCV_378,9000,2022-12-01 00:39:30.0,SHP,SHP,BO,gutierrezv.angee_m,
9,CO11353021,'202212010038412501745761,'202212010040072501755989,COCV_696,9000,2022-12-01 12:20:13.0,SHP,SHP,null,null,
10,CO11353023,'202212010043452501784736,'202212010045132501794002,COCV_181,9000,2022-12-01 00:47:31.0,SHP,SHP,BO,castano.styven_m,
11,CO11353024,'202212010041442501771066,'202212010043102501780538,COCV_262,9000,2022-12-01 00:47:00.0,SHP,SHP,BO,camacho.bryan_m,
12,CO11353043,'202212010048362501816493,'202212010050072501826302,COCV_696,9000,2022-12-01 12:20:14.0,SHP,SHP,null,null,
13,CO11353065,'202212010056352501869511,'202212010058082501878550,COCV_378,9000,2022-12-01 01:00:16.0,SHP,SHP,BO,gutierrezv.angee_m,
14,CO11353065,'202212010056352501869511,'202212010102072501909812,COCV_545,9000,2022-12-01 01:07:37.0,SHP,SHP,BO,aya.alexander_m,
15,CO11353090,'202212010033442501715939,'202212010034352501721266,COCV_156,9000,2022-12-01 00:40:32.0,SHP,SHP,BO,ventura.nataly_m,
16,CO11353092,'202212010033442501715892,'202212010034342501721134,COCV_816,9000,2022-12-01 00:41:17.0,SHP,SHP,BO,polo.vinasco_m,
17,CO11353101,'202212010041442501771115,'202212010043112501780747,COCV_262,9000,2022-12-01 00:51:06.0,SHP,SHP,BO,camacho.bryan_m,
18,CO11353157,'202212010106462501935711,'202212010108082501943585,COCV_825,9000,2022-12-01 01:11:23.0,SHP,SHP,BO,gonzalez.reiney_m,
19,CO11353188,'202212010108362501946122,'202212010110082501956768,COCV_545,9000,2022-12-01 01:15:50.0,SHP,SHP,BO,aya.alexander_m,
20,CO11353196,'202212010108362501946112,'202212010110092501956814,COCV_551,9000,2022-12-01 01:10:56.0,SHP,SHP,BO,molina.maydi_m,
21,CO11353208,'202212010118452502011430,'202212010119222502016044,COCV_392,9000,2022-12-01 01:22:33.0,SHP,SHP,BO,rojas.nicolas_m,
22,CO11353211,'202212010118442502011344,'202212010119202502015770,COCV_545,9000,2022-12-01 01:21:55.0,SHP,SHP,BO,aya.alexander_m,
23,CO11353212,'202212010118442502011368,'202212010119192502015648,COCV_190,9000,2022-12-02 13:16:23.0,SHP,SHP,null,ulloa.estephany_m,
24,CO11353234,'202212010126462502064436,'202212010127182502068352,COCV_545,9000,2022-12-01 01:30:43.0,SHP,SHP,BO,chavez.esneider_m,
25,CO11353249,'202212010136452502130325,'202212010138082502139127,COCV_556,9000,2022-12-01 01:42:48.0,SHP,SHP,BO,varon.yulieth_m,
26,CO11353249,'202212010136452502130325,'202212010144092502178946,COCV_696,9000,2022-12-01 12:20:21.0,SHP,SHP,null,null,
27,CO11353259,'202212010143452502175405,'202212010145142502185530,COCV_696,9000,2022-12-01 12:27:14.0,SHP,SHP,BO,osorno.laura_m,
28,CO11353286,'202212010121452502035162,'202212010123142502043587,COCV_545,9000,2022-12-01 01:28:58.0,SHP,SHP,BO,chavez.esneider_m,
29,CO11353287,'202212010121452502035145,'202212010123142502043552,COCV_545,9000,2022-12-01 01:26:39.0,SHP,SHP,BO,chavez.esneider_m,
30,CO11353288,'202212010118442502011309,'202212010119192502015544,COCV_885,9000,2022-12-01 01:23:00.0,SHP,SHP,BO,rolong.bleidys_m,
31,CO11353301,'202212010133442502112596,'202212010135342502123907,COCV_596,9000,2022-12-01 13:20:42.0,SHP,SHP,BO,granados.ilyana_m,
32,CO11353302,'202212010123442502046518,'202212010125422502058033,COCV_545,9000,2022-12-01 01:28:35.0,SHP,SHP,BO,chavez.esneider_m,
33,CO11353308,'202212010126462502064455,'202212010127202502068614,COCV_885,9000,2022-12-01 01:35:31.0,SHP,SHP,BO,rolong.bleidys_m,
34,CO11353309,'202212010126462502064415,'202212010127192502068502,COCV_551,9000,2022-12-01 01:31:29.0,SHP,SHP,BO,rudas.luis_m,
35,CO11353312,'202212010133442502112548,'202212010135332502123726,COCV_185,9000,2022-12-01 01:56:25.0,SHP,SHP,null,null,
36,CO11353330,'202212010138402502142300,'202212010140082502150510,COCV_545,9000,2022-12-01 01:53:50.0,SHP,SHP,BO,chavez.esneider_m,
37,CO11353333,'202212010141412502163929,'202212010143102502171495,COCV_392,9000,2022-12-01 01:45:03.0,SHP,SHP,BO,rojas.nicolas_m,
38,CO11353339,'202212010143452502175361,'202212010145132502185331,COCV_101,9000,2022-12-01 01:47:21.0,SHP,SHP,BO,paez.monica_m,
39,CO11353353,'202212010151412502228480,'202212010153082502235921,COCV_739,9000,2022-12-01 01:56:34.0,PICK,PICK,BO,medina.johanna_m,
40,CO11353355,'202212010148382502204721,'202212010150072502213905,COCV_101,9000,2022-12-01 02:19:52.0,SHP,SHP,null,paez.monica_m,
41,CO11353384,'202212010153452502239614,'202212010155102502248169,COCV_660,9000,2022-12-01 01:58:34.0,SHP,SHP,BO,obando.maribel_m,
42,CO11353406,'202212010203422502304521,'202212010205102502312893,COCV_181,9000,2022-12-01 02:07:26.0,SHP,SHP,null,quilindo.heider_m,
43,CO11353416,'202212010208352502331960,'202212010210062502341815,COCV_190,9000,2022-12-01 02:17:28.0,SHP,SHP,null,ulloa.estephany_m,
44,CO11353453,'202212010216462502382706,'202212010219032502396556,COCV_885,9000,2022-12-01 02:39:30.0,SHP,SHP,null,null,
45,CO11353455,'202212010218432502393581,'202212010220232502407358,COCV_174,9000,2022-12-01 02:26:25.0,SHP,SHP,BO,salazar.marly_m,
46,CO11353465,'202212010223452502430672,'202212010225132502439563,COCV_155,9000,2022-12-01 03:04:12.0,SHP,SHP,BO,sandoval.isabel_m,
47,CO11353471,'202212010223452502430614,'202212010225112502439159,COCV_155,9000,2022-12-01 02:43:15.0,SHP,SHP,BO,sandoval.isabel_m,
48,CO11353486,'202212010203422502304540,'202212010205112502313095,COCV_181,9000,2022-12-01 02:06:02.0,SHP,SHP,BO,quilindo.heider_m,
49,CO11353490,'202212010206432502321771,'202212010208092502329655,COCV_392,9000,2022-12-01 02:08:56.0,SHP,SHP,BO,rojas.nicolas_m,
