data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
190001,CO11204298,'202208300006392042065340,1400,2022-08-30 00:11:29.0,ortiz.hector_m,ortiz.hector_m,'202208300227502042248901,MU,COCV_739,medina.johanna_m,
190002,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:36.0,rojas.leonardo_m,rojas.leonardo_m,'202208300008512042069527,MU,COCV_545,ortiz.hector_m,
190003,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:36.0,rojas.leonardo_m,rojas.leonardo_m,'202208300014312042085074,MU,COCV_654,rojas.leonardo_m,
190004,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:36.0,rojas.leonardo_m,rojas.leonardo_m,'202208300227502042248901,MU,COCV_739,medina.johanna_m,
190005,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:40.0,rojas.leonardo_m,rojas.leonardo_m,'202208300008512042069527,MU,COCV_545,ortiz.hector_m,
190006,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:40.0,rojas.leonardo_m,rojas.leonardo_m,'202208300014312042085074,MU,COCV_654,rojas.leonardo_m,
190007,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:40.0,rojas.leonardo_m,rojas.leonardo_m,'202208300227502042248901,MU,COCV_739,medina.johanna_m,
190008,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:52.0,rojas.leonardo_m,rojas.leonardo_m,'202208300008512042069527,MU,COCV_545,ortiz.hector_m,
190009,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:52.0,rojas.leonardo_m,rojas.leonardo_m,'202208300014312042085074,MU,COCV_654,rojas.leonardo_m,
190010,CO11204298,'202208300006392042065340,1400,2022-08-30 00:16:52.0,rojas.leonardo_m,rojas.leonardo_m,'202208300227502042248901,MU,COCV_739,medina.johanna_m,
