data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
260001,COCC11221616,'202212150645272616497841,3350.1500.1000,2022-12-15 06:56:28.0,ortiz.hector_m,pena.angie_m,'202212150654032616501327,MU,COCV_545,ortiz.hector_m,
260002,COCC11221616,'202212150645272616497841,3700.1000,2022-12-15 13:06:41.0,pena.angie_m,OMSRESTAPIUSER,'202212150654032616501327,MU,COCV_545,ortiz.hector_m,
260003,COCC11221616,'202212150645272616497841,3700.2000,2022-12-15 13:53:53.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212150654032616501327,MU,COCV_545,ortiz.hector_m,
260004,COCC11221618,'202212151001312618426244,3350.1000,2022-12-15 10:04:55.0,DifarmaConsolidateToShipmentAgentServer,domico.leidy_m,'202212151004552618448071,MU,COCV_556,domico.leidy_m,
260005,COCC11221618,'202212151001312618426244,3350.1500,2022-12-15 10:24:28.0,domico.leidy_m,domico.leidy_m,'202212151004552618448071,MU,COCV_556,domico.leidy_m,
260006,COCC11221618,'202212151001312618426244,3350.1500.1000,2022-12-15 10:24:28.0,domico.leidy_m,londono.leidy_m,'202212151004552618448071,MU,COCV_556,domico.leidy_m,
260007,COCC11221618,'202212151001312618426244,3700.01,2022-12-15 14:35:10.0,DifarmaHubCreateDelRejectReturnServer,londono.leidy_m,'202212151004552618448071,MU,COCV_556,domico.leidy_m,
260008,COCC11221618,'202212151001312618426244,3700.02,2022-12-15 15:12:31.0,londono.leidy_m,londono.leidy_m,'202212151004552618448071,MU,COCV_556,domico.leidy_m,
260009,COCC11221618,'202212151001312618426244,3700.1000,2022-12-15 13:07:21.0,londono.leidy_m,OMSRESTAPIUSER,'202212151004552618448071,MU,COCV_556,domico.leidy_m,
260010,COCC11221619,'202212151052492618609101,3350.1000,2022-12-15 11:53:15.0,DifarmaConsolidateToShipmentAgentServer,martinez.niyane_m,'202212151153152618691583,MU,COCV_549,martinez.niyane_m,
260011,COCC11221619,'202212151052492618609101,3350.1500,2022-12-15 11:54:17.0,martinez.niyane_m,martinez.niyane_m,'202212151153152618691583,MU,COCV_549,martinez.niyane_m,
260012,COCC11221619,'202212151052492618609101,3350.1500.1000,2022-12-15 11:54:18.0,martinez.niyane_m,martinez.niyane_m,'202212151153152618691583,MU,COCV_549,martinez.niyane_m,
260013,COCC11221619,'202212151052492618609101,3700.1000,2022-12-15 12:16:24.0,martinez.niyane_m,OMSRESTAPIUSER,'202212151153152618691583,MU,COCV_549,martinez.niyane_m,
260014,COCC11221619,'202212151052492618609101,3700.2000,2022-12-15 12:57:54.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212151153152618691583,MU,COCV_549,martinez.niyane_m,
260015,COCC11221620,'202212151101132618616194,3350.1000,2022-12-15 11:09:57.0,DifarmaConsolidateToShipmentAgentServer,loboa.lina_m,'202212151109562618631262,MU,COCV_677,loboa.lina_m,
260016,COCC11221620,'202212151101132618616194,3350.1500,2022-12-15 12:05:59.0,loboa.lina_m,loboa.lina_m,'202212151109562618631262,MU,COCV_677,loboa.lina_m,
260017,COCC11221620,'202212151101132618616194,3350.1500.1000,2022-12-15 12:06:00.0,loboa.lina_m,loboa.lina_m,'202212151109562618631262,MU,COCV_677,loboa.lina_m,
