data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
140001,COCC11197012,'202212062038032566612967,3700.1000,2022-12-06 20:48:45.0,camacho.bryan_m,OMSRESTAPIUSER,'202212062042412566708642,MU,COCV_262,camacho.bryan_m,
140002,COCC11197012,'202212062038032566612967,3700.2000,2022-12-06 21:08:48.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212062042412566708642,MU,COCV_262,camacho.bryan_m,
140003,COCC11197013,'202212062038182566617760,3350.1000,2022-12-06 21:57:30.0,DifarmaConsolidateToShipmentAgentServer,vera.maria_m,'202212062157302568183736,MU,COCV_392,vera.maria_m,
140004,COCC11197013,'202212062038182566617760,3350.1500,2022-12-06 22:02:07.0,vera.maria_m,vera.maria_m,'202212062157302568183736,MU,COCV_392,vera.maria_m,
140005,COCC11197013,'202212062038182566617760,3350.1500.1000,2022-12-06 22:02:12.0,vera.maria_m,vera.maria_m,'202212062157302568183736,MU,COCV_392,vera.maria_m,
140006,COCC11197013,'202212062038182566617760,3700.1000,2022-12-06 22:17:19.0,vera.maria_m,OMSRESTAPIUSER,'202212062157302568183736,MU,COCV_392,vera.maria_m,
140007,COCC11197013,'202212062038182566617760,3700.2000,2022-12-06 23:16:30.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212062157302568183736,MU,COCV_392,vera.maria_m,
140008,COCC11197014,'202212062038292566620826,3350.1000,2022-12-06 20:44:41.0,DifarmaConsolidateToShipmentAgentServer,avila.julith_m,'202212062044412566748046,MU,COCV_885,avila.julith_m,
140009,COCC11197014,'202212062038292566620826,3350.1500,2022-12-06 20:46:58.0,avila.julith_m,avila.julith_m,'202212062044412566748046,MU,COCV_885,avila.julith_m,
140010,COCC11197014,'202212062038292566620826,3350.1500.1000,2022-12-06 20:46:59.0,avila.julith_m,avila.julith_m,'202212062044412566748046,MU,COCV_885,avila.julith_m,
140011,COCC11197014,'202212062038292566620826,3700.1000,2022-12-06 20:54:58.0,avila.julith_m,OMSRESTAPIUSER,'202212062044412566748046,MU,COCV_885,avila.julith_m,
140012,COCC11197014,'202212062038292566620826,3700.2000,2022-12-06 21:32:07.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212062044412566748046,MU,COCV_885,avila.julith_m,
140013,COCC11197016,'202212062039312566639533,3350.1000,2022-12-06 20:44:42.0,DifarmaConsolidateToShipmentAgentServer,escobar.diana_m,'202212062044422566748259,MU,COCV_577,escobar.diana_m,
140014,COCC11197016,'202212062039312566639533,3350.1500,2022-12-06 20:47:45.0,escobar.diana_m,escobar.diana_m,'202212062044422566748259,MU,COCV_577,escobar.diana_m,
140015,COCC11197016,'202212062039312566639533,3350.1500.1000,2022-12-06 20:47:46.0,escobar.diana_m,escobar.diana_m,'202212062044422566748259,MU,COCV_577,escobar.diana_m,
