data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
10001,CO11408275,'202301030056382708235014,3350.1000,2023-01-03 00:58:58.0,DifarmaConsolidateToShipmentAgentServer,tapias.jenny_m,'202301030058572708239668,MU,COCV_411,tapias.jenny_m,
10002,CO11408275,'202301030056382708235014,3350.1500,2023-01-03 01:05:30.0,tapias.jenny_m,tapias.jenny_m,'202301030058572708239668,MU,COCV_411,tapias.jenny_m,
10003,CO11408275,'202301030056382708235014,3350.1500.1000,2023-01-03 01:05:30.0,tapias.jenny_m,orjuela.blanca_m,'202301030058572708239668,MU,COCV_411,tapias.jenny_m,
10004,CO11408275,'202301030056382708235014,3700.1000,2023-01-03 11:05:55.0,orjuela.blanca_m,OMSRESTAPIUSER,'202301030058572708239668,MU,COCV_411,tapias.jenny_m,
10005,CO11408275,'202301030056382708235014,3700.2000,2023-01-03 15:09:52.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202301030058572708239668,MU,COCV_411,tapias.jenny_m,
10006,CO11408277,'202301030058372708239107,3350.1000,2023-01-03 01:00:33.0,DifarmaConsolidateToShipmentAgentServer,sanchez.victor_m,'202301030100322708244653,MU,COCV_549,sanchez.victor_m,
10007,CO11408277,'202301030058372708239107,3350.1500,2023-01-03 01:03:05.0,sanchez.victor_m,sanchez.victor_m,'202301030100322708244653,MU,COCV_549,sanchez.victor_m,
10008,CO11408277,'202301030058372708239107,3350.1500.1000,2023-01-03 01:03:05.0,sanchez.victor_m,sanchez.victor_m,'202301030100322708244653,MU,COCV_549,sanchez.victor_m,
10009,CO11408277,'202301030058372708239107,3700.1000,2023-01-03 01:17:11.0,sanchez.victor_m,OMSRESTAPIUSER,'202301030100322708244653,MU,COCV_549,sanchez.victor_m,
10010,CO11408277,'202301030058372708239107,3700.2000,2023-01-03 01:21:20.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202301030100322708244653,MU,COCV_549,sanchez.victor_m,
10011,CO11408278,'202301030101342708248634,3350.1000,2023-01-03 01:03:26.0,DifarmaConsolidateToShipmentAgentServer,aguirre.dora_m,'202301030103252708250264,MU,COCV_392,aguirre.dora_m,
10012,CO11408278,'202301030101342708248634,3350.1500,2023-01-03 01:05:39.0,aguirre.dora_m,aguirre.dora_m,'202301030103252708250264,MU,COCV_392,aguirre.dora_m,
10013,CO11408278,'202301030101342708248634,3350.1500.1000,2023-01-03 01:05:47.0,aguirre.dora_m,aguirre.dora_m,'202301030103252708250264,MU,COCV_392,aguirre.dora_m,
10014,CO11408278,'202301030101342708248634,3700.1000,2023-01-03 01:22:21.0,aguirre.dora_m,OMSRESTAPIUSER,'202301030103252708250264,MU,COCV_392,aguirre.dora_m,
10015,CO11408278,'202301030101342708248634,3700.2000,2023-01-03 01:32:12.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202301030103252708250264,MU,COCV_392,aguirre.dora_m,
10016,CO11408279,'202301030101342708248620,3350.1000,2023-01-03 01:03:25.0,DifarmaConsolidateToShipmentAgentServer,usuga.claudia_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10017,CO11408279,'202301030101342708248620,3350.1500,2023-01-03 01:06:41.0,usuga.claudia_m,usuga.claudia_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10018,CO11408279,'202301030101342708248620,3350.1500.1000,2023-01-03 01:06:41.0,usuga.claudia_m,herrera.laura_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10019,CO11408279,'202301030101342708248620,3700.01,2023-01-03 14:30:36.0,DifarmaHubCreateDelRejectReturnServer,herrera.laura_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10020,CO11408279,'202301030101342708248620,3700.02,2023-01-03 14:30:48.0,herrera.laura_m,herrera.laura_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10021,CO11408279,'202301030101342708248620,3700.02,2023-01-03 14:30:58.0,herrera.laura_m,herrera.laura_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10022,CO11408279,'202301030101342708248620,3700.02,2023-01-03 14:31:05.0,herrera.laura_m,herrera.laura_m,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10023,CO11408279,'202301030101342708248620,3700.1000,2023-01-03 12:22:49.0,herrera.laura_m,OMSRESTAPIUSER,'202301030103252708250192,MU,COCV_556,usuga.claudia_m,
10024,CO11408280,'202301030103382708251473,3350.1000,2023-01-03 01:05:29.0,DifarmaConsolidateToShipmentAgentServer,murillo.shirley_m,'202301030105282708255344,MU,COCV_816,murillo.shirley_m,
10025,CO11408280,'202301030103382708251473,3350.1500,2023-01-03 01:06:19.0,murillo.shirley_m,murillo.shirley_m,'202301030105282708255344,MU,COCV_816,murillo.shirley_m,
10026,CO11408280,'202301030103382708251473,3350.1500.1000,2023-01-03 01:06:19.0,murillo.shirley_m,murillo.shirley_m,'202301030105282708255344,MU,COCV_816,murillo.shirley_m,
10027,CO11408280,'202301030103382708251473,3700.1000,2023-01-03 01:38:08.0,murillo.shirley_m,OMSRESTAPIUSER,'202301030105282708255344,MU,COCV_816,murillo.shirley_m,
10028,CO11408280,'202301030103382708251473,3700.2000,2023-01-03 02:10:51.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202301030105282708255344,MU,COCV_816,murillo.shirley_m,
10029,CO11408281,'202301030103372708251460,3350.1000,2023-01-03 01:05:28.0,DifarmaConsolidateToShipmentAgentServer,parra.angi_m,'202301030105282708255304,MU,COCV_190,parra.angi_m,
10030,CO11408281,'202301030103372708251460,3350.1500,2023-01-03 01:07:48.0,parra.angi_m,parra.angi_m,'202301030105282708255304,MU,COCV_190,parra.angi_m,
10031,CO11408281,'202301030103372708251460,3350.1500.1000,2023-01-03 01:07:49.0,parra.angi_m,parra.angi_m,'202301030105282708255304,MU,COCV_190,parra.angi_m,
10032,CO11408281,'202301030103372708251460,3700.1000,2023-01-03 01:34:32.0,parra.angi_m,OMSRESTAPIUSER,'202301030105282708255304,MU,COCV_190,parra.angi_m,
10033,CO11408281,'202301030103372708251460,3700.2000,2023-01-03 01:55:56.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202301030105282708255304,MU,COCV_190,parra.angi_m,
10034,CO11408282,'202301022353412708089720,3350.1000,2023-01-02 23:56:05.0,DifarmaConsolidateToShipmentAgentServer,ariza.rudby_m,'202301022356052708093468,MU,COCV_402,ariza.rudby_m,
10035,CO11408282,'202301022353412708089720,3350.1500,2023-01-02 23:58:23.0,ariza.rudby_m,ariza.rudby_m,'202301022356052708093468,MU,COCV_402,ariza.rudby_m,
10036,CO11408282,'202301022353412708089720,3350.1500.1000,2023-01-02 23:58:24.0,ariza.rudby_m,garcia.liliana_m,'202301022356052708093468,MU,COCV_402,ariza.rudby_m,
10037,CO11408282,'202301022353412708089720,3700.1000,2023-01-03 15:31:34.0,garcia.liliana_m,OMSRESTAPIUSER,'202301022356052708093468,MU,COCV_402,ariza.rudby_m,
10038,CO11408282,'202301022353412708089720,3700.2000,2023-01-04 14:05:20.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202301022356052708093468,MU,COCV_402,ariza.rudby_m,
10039,CO11408283,'202301022353412708089714,3350.1000,2023-01-02 23:56:04.0,DifarmaConsolidateToShipmentAgentServer,avila.julith_m,'202301022356042708093414,MU,COCV_885,avila.julith_m,
