data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
90001,CO11342403,'202211260243442456310517,3700.1000,2022-11-26 03:43:49.0,usuga.claudia_m,OMSRESTAPIUSER,'202211260244532456319591,MU,COCV_556,usuga.claudia_m,
90002,CO11342403,'202211260243442456310517,3700.2000,2022-11-26 04:41:32.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260244532456319591,MU,COCV_556,usuga.claudia_m,
90003,CO11342404,'202211260246422456330888,3350.1000,2022-11-26 02:48:46.0,DifarmaConsolidateToShipmentAgentServer,castilla.leidys_m,'202211260248462456342633,MU,COCV_885,castilla.leidys_m,
90004,CO11342404,'202211260246422456330888,3350.1500,2022-11-26 02:52:58.0,castilla.leidys_m,castilla.leidys_m,'202211260248462456342633,MU,COCV_885,castilla.leidys_m,
90005,CO11342404,'202211260246422456330888,3350.1500.1000,2022-11-26 02:52:58.0,castilla.leidys_m,avila.julith_m,'202211260248462456342633,MU,COCV_885,castilla.leidys_m,
90006,CO11342404,'202211260246422456330888,3700.1000,2022-11-26 05:36:13.0,avila.julith_m,OMSRESTAPIUSER,'202211260248462456342633,MU,COCV_885,castilla.leidys_m,
90007,CO11342404,'202211260246422456330888,3700.2000,2022-11-26 22:38:55.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260248462456342633,MU,COCV_885,castilla.leidys_m,
90008,CO11342405,'202211260246432456330943,3350.1000,2022-11-26 02:48:47.0,DifarmaConsolidateToShipmentAgentServer,molina.maydi_m,'202211260248472456342751,MU,COCV_551,molina.maydi_m,
90009,CO11342405,'202211260246432456330943,3350.1500,2022-11-26 02:49:48.0,molina.maydi_m,molina.maydi_m,'202211260248472456342751,MU,COCV_551,molina.maydi_m,
90010,CO11342405,'202211260246432456330943,3350.1500.1000,2022-11-26 02:49:53.0,molina.maydi_m,molina.maydi_m,'202211260248472456342751,MU,COCV_551,molina.maydi_m,
90011,CO11342405,'202211260246432456330943,3700.1000,2022-11-26 05:28:10.0,molina.maydi_m,OMSRESTAPIUSER,'202211260248472456342751,MU,COCV_551,molina.maydi_m,
90012,CO11342405,'202211260246432456330943,3700.2000,2022-11-26 06:16:16.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260248472456342751,MU,COCV_551,molina.maydi_m,
90013,CO11342406,'202211260251422456364304,3350.1000,2022-11-26 02:52:53.0,DifarmaConsolidateToShipmentAgentServer,parra.angi_m,'202211260252532456370356,MU,COCV_190,parra.angi_m,
90014,CO11342406,'202211260251422456364304,3350.1500,2022-11-26 10:38:50.0,parra.angi_m,parra.angi_m,'202211260252532456370356,MU,COCV_190,parra.angi_m,
90015,CO11342406,'202211260251422456364304,3350.1500.1000,2022-11-26 10:38:51.0,parra.angi_m,ulloa.estephany_m,'202211260252532456370356,MU,COCV_190,parra.angi_m,
90016,CO11342406,'202211260251422456364304,3700.1000,2022-11-26 11:16:08.0,ulloa.estephany_m,OMSRESTAPIUSER,'202211260252532456370356,MU,COCV_190,parra.angi_m,
90017,CO11342406,'202211260251422456364304,3700.2000,2022-11-26 12:09:56.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260252532456370356,MU,COCV_190,parra.angi_m,
90018,CO11342407,'202211260248412456342080,3350.1000,2022-11-26 02:50:43.0,DifarmaConsolidateToShipmentAgentServer,rivera.gustavo_m,'202211260250422456357591,MU,COCV_873,rivera.gustavo_m,
90019,CO11342407,'202211260248412456342080,3350.1500,2022-11-26 12:57:23.0,rivera.gustavo_m,rivera.gustavo_m,'202211260250422456357591,MU,COCV_873,rivera.gustavo_m,
90020,CO11342407,'202211260248412456342080,3350.1500.1000,2022-11-26 12:57:24.0,rivera.gustavo_m,rivera.gustavo_m,'202211260250422456357591,MU,COCV_873,rivera.gustavo_m,
90021,CO11342407,'202211260248412456342080,3700.1000,2022-11-26 13:32:12.0,rivera.gustavo_m,OMSRESTAPIUSER,'202211260250422456357591,MU,COCV_873,rivera.gustavo_m,
90022,CO11342407,'202211260248412456342080,3700.2000,2022-11-26 13:49:13.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260250422456357591,MU,COCV_873,rivera.gustavo_m,
90023,CO11342408,'202211260248412456342050,3350.1000,2022-11-26 02:50:42.0,DifarmaConsolidateToShipmentAgentServer,arenas.jenny_m,'202211260250422456357548,MU,COCV_411,arenas.jenny_m,
90024,CO11342408,'202211260248412456342050,3350.1500,2022-11-26 03:00:51.0,arenas.jenny_m,arenas.jenny_m,'202211260250422456357548,MU,COCV_411,arenas.jenny_m,
90025,CO11342408,'202211260248412456342050,3350.1500.1000,2022-11-26 03:00:51.0,arenas.jenny_m,aldana.luz_m,'202211260250422456357548,MU,COCV_411,arenas.jenny_m,
90026,CO11342408,'202211260248412456342050,3700.1000,2022-11-26 12:11:16.0,aldana.luz_m,OMSRESTAPIUSER,'202211260250422456357548,MU,COCV_411,arenas.jenny_m,
90027,CO11342408,'202211260248412456342050,3700.2000,2022-11-26 22:38:57.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260250422456357548,MU,COCV_411,arenas.jenny_m,
90028,CO11342409,'202211260248412456342036,3350.1000,2022-11-26 02:50:42.0,DifarmaConsolidateToShipmentAgentServer,villa.carlos_m,'202211260250412456357373,MU,COCV_181,villa.carlos_m,
90029,CO11342409,'202211260248412456342036,3350.1500,2022-11-26 02:52:48.0,villa.carlos_m,villa.carlos_m,'202211260250412456357373,MU,COCV_181,villa.carlos_m,
90030,CO11342409,'202211260248412456342036,3350.1500.1000,2022-11-26 02:52:49.0,villa.carlos_m,villa.carlos_m,'202211260250412456357373,MU,COCV_181,villa.carlos_m,
90031,CO11342409,'202211260248412456342036,3700.1000,2022-11-26 03:12:12.0,villa.carlos_m,OMSRESTAPIUSER,'202211260250412456357373,MU,COCV_181,villa.carlos_m,
90032,CO11342409,'202211260248412456342036,3700.2000,2022-11-26 04:19:17.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260250412456357373,MU,COCV_181,villa.carlos_m,
90033,CO11342410,'202211260251422456364291,3350.1000,2022-11-26 02:52:53.0,DifarmaConsolidateToShipmentAgentServer,aponte.july_m,'202211260252532456370304,MU,COCV_381,aponte.july_m,
90034,CO11342410,'202211260251422456364291,3350.1500,2022-11-26 02:55:01.0,aponte.july_m,aponte.july_m,'202211260252532456370304,MU,COCV_381,aponte.july_m,
90035,CO11342410,'202211260251422456364291,3350.1500.1000,2022-11-26 02:55:01.0,aponte.july_m,aguilera.catalina_m,'202211260252532456370304,MU,COCV_381,aponte.july_m,
90036,CO11342410,'202211260251422456364291,3700.1000,2022-11-26 07:30:06.0,aguilera.catalina_m,OMSRESTAPIUSER,'202211260252532456370304,MU,COCV_381,aponte.july_m,
90037,CO11342410,'202211260251422456364291,3700.2000,2022-11-26 09:30:01.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260252532456370304,MU,COCV_381,aponte.july_m,
90038,CO11342411,'202211260251412456364279,3350.1000,2022-11-26 02:52:53.0,DifarmaConsolidateToShipmentAgentServer,ortiz.hector_m,'202211260252522456370265,MU,COCV_545,ortiz.hector_m,
90039,CO11342411,'202211260251412456364279,3350.1500,2022-11-26 02:55:46.0,ortiz.hector_m,ortiz.hector_m,'202211260252522456370265,MU,COCV_545,ortiz.hector_m,
90040,CO11342411,'202211260251412456364279,3350.1500.1000,2022-11-26 02:55:52.0,ortiz.hector_m,ortiz.hector_m,'202211260252522456370265,MU,COCV_545,ortiz.hector_m,
90041,CO11342411,'202211260251412456364279,3700.1000,2022-11-26 04:30:44.0,ortiz.hector_m,OMSRESTAPIUSER,'202211260252522456370265,MU,COCV_545,ortiz.hector_m,
90042,CO11342411,'202211260251412456364279,3700.2000,2022-11-26 05:40:29.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260252522456370265,MU,COCV_545,ortiz.hector_m,
90043,CO11342412,'202211260248412456342019,3350.1000,2022-11-26 02:50:41.0,DifarmaConsolidateToShipmentAgentServer,medina.natalia_m,'202211260250412456357336,MU,COCV_881,medina.natalia_m,
90044,CO11342412,'202211260248412456342019,3350.1500,2022-11-26 12:03:33.0,medina.natalia_m,medina.natalia_m,'202211260250412456357336,MU,COCV_881,medina.natalia_m,
90045,CO11342412,'202211260248412456342019,3350.1500.1000,2022-11-26 12:03:33.0,medina.natalia_m,medina.natalia_m,'202211260250412456357336,MU,COCV_881,medina.natalia_m,
90046,CO11342412,'202211260248412456342019,3700.1000,2022-11-26 13:04:02.0,medina.natalia_m,OMSRESTAPIUSER,'202211260250412456357336,MU,COCV_881,medina.natalia_m,
90047,CO11342412,'202211260248412456342019,3700.2000,2022-11-26 14:11:02.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260250412456357336,MU,COCV_881,medina.natalia_m,
90048,CO11342413,'202211260251412456364266,3350.1000,2022-11-26 02:52:52.0,DifarmaConsolidateToShipmentAgentServer,quintero.dayan_m,'202211260252522456370219,MU,COCV_101,quintero.dayan_m,
90049,CO11342413,'202211260251412456364266,3350.1500,2022-11-26 02:54:09.0,quintero.dayan_m,quintero.dayan_m,'202211260252522456370219,MU,COCV_101,quintero.dayan_m,
90050,CO11342413,'202211260251412456364266,3350.1500.1000,2022-11-26 02:54:09.0,quintero.dayan_m,quintero.dayan_m,'202211260252522456370219,MU,COCV_101,quintero.dayan_m,
90051,CO11342413,'202211260251412456364266,3700.1000,2022-11-26 03:10:54.0,quintero.dayan_m,OMSRESTAPIUSER,'202211260252522456370219,MU,COCV_101,quintero.dayan_m,
90052,CO11342413,'202211260251412456364266,3700.2000,2022-11-26 03:29:37.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260252522456370219,MU,COCV_101,quintero.dayan_m,
90053,CO11342414,'202211260251412456364254,3350.1000,2022-11-26 02:52:52.0,DifarmaConsolidateToShipmentAgentServer,ocasiones.claudia_m,'202211260252522456370173,MU,COCV_174,ocasiones.claudia_m,
90054,CO11342414,'202211260251412456364254,3350.1500,2022-11-26 03:00:58.0,ocasiones.claudia_m,ocasiones.claudia_m,'202211260252522456370173,MU,COCV_174,ocasiones.claudia_m,
90055,CO11342414,'202211260251412456364254,3350.1500.1000,2022-11-26 03:00:58.0,ocasiones.claudia_m,morantes.luis_m,'202211260252522456370173,MU,COCV_174,ocasiones.claudia_m,
90056,CO11342414,'202211260251412456364254,3700.1000,2022-11-26 05:55:05.0,morantes.luis_m,OMSRESTAPIUSER,'202211260252522456370173,MU,COCV_174,ocasiones.claudia_m,
90057,CO11342414,'202211260251412456364254,3700.2000,2022-11-26 06:14:53.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260252522456370173,MU,COCV_174,ocasiones.claudia_m,
90058,CO11342415,'202211260253412456375291,3350.1000,2022-11-26 02:54:54.0,DifarmaConsolidateToShipmentAgentServer,usuga.claudia_m,'202211260254532456383586,MU,COCV_556,usuga.claudia_m,
90059,CO11342415,'202211260253412456375291,3350.1500,2022-11-26 02:57:14.0,usuga.claudia_m,usuga.claudia_m,'202211260254532456383586,MU,COCV_556,usuga.claudia_m,
90060,CO11342415,'202211260253412456375291,3350.1500.1000,2022-11-26 02:57:22.0,usuga.claudia_m,varon.yulieth_m,'202211260254532456383586,MU,COCV_556,usuga.claudia_m,
90061,CO11342415,'202211260253412456375291,3700.1000,2022-11-26 12:59:57.0,varon.yulieth_m,OMSRESTAPIUSER,'202211260254532456383586,MU,COCV_556,usuga.claudia_m,
90062,CO11342415,'202211260253412456375291,3700.2000,2022-11-26 13:06:06.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260254532456383586,MU,COCV_556,usuga.claudia_m,
90063,CO11342416,'202211260253412456375266,3350.1000,2022-11-26 02:54:52.0,DifarmaConsolidateToShipmentAgentServer,aponte.july_m,'202211260254522456383354,MU,COCV_381,aponte.july_m,
90064,CO11342416,'202211260253412456375266,3350.1500,2022-11-26 03:01:44.0,aponte.july_m,aponte.july_m,'202211260254522456383354,MU,COCV_381,aponte.july_m,
90065,CO11342416,'202211260253412456375266,3350.1500.1000,2022-11-26 03:01:44.0,aponte.july_m,aguilera.catalina_m,'202211260254522456383354,MU,COCV_381,aponte.july_m,
90066,CO11342416,'202211260253412456375266,3700.1000,2022-11-26 07:29:55.0,aguilera.catalina_m,OMSRESTAPIUSER,'202211260254522456383354,MU,COCV_381,aponte.july_m,
90067,CO11342416,'202211260253412456375266,3700.2000,2022-11-26 10:18:40.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260254522456383354,MU,COCV_381,aponte.july_m,
90068,CO11342417,'202211260256402456391770,3350.1000,2022-11-26 02:58:48.0,DifarmaConsolidateToShipmentAgentServer,miranda.maira_m,'202211260258472456403101,MU,COCV_816,miranda.maira_m,
90069,CO11342417,'202211260256402456391770,3350.1500,2022-11-26 02:59:53.0,miranda.maira_m,miranda.maira_m,'202211260258472456403101,MU,COCV_816,miranda.maira_m,
90070,CO11342417,'202211260256402456391770,3350.1500.1000,2022-11-26 02:59:54.0,miranda.maira_m,gonzalez.diana_m,'202211260258472456403101,MU,COCV_816,miranda.maira_m,
90071,CO11342417,'202211260256402456391770,3700.1000,2022-11-26 14:20:03.0,gonzalez.diana_m,OMSRESTAPIUSER,'202211260258472456403101,MU,COCV_816,miranda.maira_m,
90072,CO11342417,'202211260256402456391770,3700.2000,2022-11-26 22:38:59.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260258472456403101,MU,COCV_816,miranda.maira_m,
90073,CO11342418,'202211260256412456391973,3350.1000,2022-11-26 02:58:49.0,DifarmaConsolidateToShipmentAgentServer,arenas.jenny_m,'202211260258482456403340,MU,COCV_411,arenas.jenny_m,
90074,CO11342418,'202211260256412456391973,3350.1500,2022-11-26 03:03:06.0,arenas.jenny_m,arenas.jenny_m,'202211260258482456403340,MU,COCV_411,arenas.jenny_m,
90075,CO11342418,'202211260256412456391973,3350.1500.1000,2022-11-26 03:03:07.0,arenas.jenny_m,arenas.jenny_m,'202211260258482456403340,MU,COCV_411,arenas.jenny_m,
90076,CO11342418,'202211260256412456391973,3700.1000,2022-11-26 10:32:11.0,arenas.jenny_m,OMSRESTAPIUSER,'202211260258482456403340,MU,COCV_411,arenas.jenny_m,
90077,CO11342418,'202211260256412456391973,3700.2000,2022-11-26 14:29:45.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260258482456403340,MU,COCV_411,arenas.jenny_m,
90078,CO11342419,'202211260258412456401813,3350.1000,2022-11-26 03:00:53.0,DifarmaConsolidateToShipmentAgentServer,aponte.july_m,'202211260300532456424457,MU,COCV_381,aponte.july_m,
90079,CO11342419,'202211260258412456401813,3350.1500,2022-11-26 03:03:39.0,aponte.july_m,aponte.july_m,'202211260300532456424457,MU,COCV_381,aponte.july_m,
90080,CO11342419,'202211260258412456401813,3350.1500.1000,2022-11-26 03:03:39.0,aponte.july_m,aguilera.catalina_m,'202211260300532456424457,MU,COCV_381,aponte.july_m,
90081,CO11342419,'202211260258412456401813,3700.1000,2022-11-26 07:29:43.0,aguilera.catalina_m,OMSRESTAPIUSER,'202211260300532456424457,MU,COCV_381,aponte.july_m,
90082,CO11342419,'202211260258412456401813,3700.2000,2022-11-26 08:58:40.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211260300532456424457,MU,COCV_381,aponte.july_m,
90083,CO11342421,'202211260301402456429929,3350.1000,2022-11-26 03:02:47.0,DifarmaConsolidateToShipmentAgentServer,rodriguez.cristian_m,'202211260302462456434870,MU,COCV_155,rodriguez.cristian_m,
90084,CO11342421,'202211260301402456429929,3350.1500,2022-11-26 03:13:20.0,rodriguez.cristian_m,rodriguez.cristian_m,'202211260302462456434870,MU,COCV_155,rodriguez.cristian_m,
90085,CO11342421,'202211260301402456429929,3350.1500.1000,2022-11-26 03:13:30.0,rodriguez.cristian_m,campos.martha_m,'202211260302462456434870,MU,COCV_155,rodriguez.cristian_m,
