data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
170001,CO11339516,'202211250533392447392222,3350.1000,2022-11-25 05:36:47.0,DifarmaConsolidateToShipmentAgentServer,domico.leidy_m,'202211250536472447405382,MU,COCV_556,domico.leidy_m,
170002,CO11339516,'202211250533392447392222,3350.1500,2022-11-25 05:40:53.0,domico.leidy_m,domico.leidy_m,'202211250536472447405382,MU,COCV_556,domico.leidy_m,
170003,CO11339516,'202211250533392447392222,3350.1500.1000,2022-11-25 05:40:54.0,domico.leidy_m,domico.leidy_m,'202211250536472447405382,MU,COCV_556,domico.leidy_m,
170004,CO11339516,'202211250533392447392222,3700.1000,2022-11-25 12:40:23.0,domico.leidy_m,OMSRESTAPIUSER,'202211250536472447405382,MU,COCV_556,domico.leidy_m,
170005,CO11339516,'202211250533392447392222,3700.2000,2022-11-25 15:43:50.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211250536472447405382,MU,COCV_556,domico.leidy_m,
170006,CO11339517,'202211250536392447404824,3350.1000,2022-11-25 05:38:48.0,DifarmaConsolidateToShipmentAgentServer,domico.leidy_m,'202211250538482447413828,MU,COCV_556,domico.leidy_m,
170007,CO11339517,'202211250536392447404824,3350.1500,2022-11-25 05:41:57.0,domico.leidy_m,domico.leidy_m,'202211250538482447413828,MU,COCV_556,domico.leidy_m,
170008,CO11339517,'202211250536392447404824,3350.1500.1000,2022-11-25 05:41:58.0,domico.leidy_m,varon.yulieth_m,'202211250538482447413828,MU,COCV_556,domico.leidy_m,
170009,CO11339517,'202211250536392447404824,3700.1000,2022-11-26 13:03:24.0,varon.yulieth_m,OMSRESTAPIUSER,'202211250538482447413828,MU,COCV_556,domico.leidy_m,
170010,CO11339517,'202211250536392447404824,3700.2000,2022-11-26 13:40:32.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211250538482447413828,MU,COCV_556,domico.leidy_m,
170011,CO11339518,'202211250541372447428771,3350.1000,2022-11-25 05:42:50.0,DifarmaConsolidateToShipmentAgentServer,cardozo.aura_m,'202211250542502447434014,MU,COCV_116,cardozo.aura_m,
170012,CO11339518,'202211250541372447428771,3350.1500,2022-11-25 12:52:18.0,cardozo.aura_m,cardozo.aura_m,'202211250542502447434014,MU,COCV_116,cardozo.aura_m,
170013,CO11339518,'202211250541372447428771,3350.1500.1000,2022-11-25 12:52:28.0,cardozo.aura_m,melo.veronica_m,'202211250542502447434014,MU,COCV_116,cardozo.aura_m,
170014,CO11339518,'202211250541372447428771,3700.1000,2022-11-25 15:14:41.0,melo.veronica_m,OMSRESTAPIUSER,'202211250542502447434014,MU,COCV_116,cardozo.aura_m,
170015,CO11339518,'202211250541372447428771,3700.2000,2022-11-26 13:58:43.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211250542502447434014,MU,COCV_116,cardozo.aura_m,
170016,CO11339519,'202211250548372447457943,3350.1000,2022-11-25 05:50:50.0,DifarmaConsolidateToShipmentAgentServer,parra.angi_m,'202211250550492447469413,MU,COCV_190,parra.angi_m,
170017,CO11339519,'202211250548372447457943,3350.1500,2022-11-25 10:56:20.0,parra.angi_m,parra.angi_m,'202211250550492447469413,MU,COCV_190,parra.angi_m,
170018,CO11339519,'202211250548372447457943,3350.1500.1000,2022-11-25 10:56:21.0,parra.angi_m,maestre.deisy_m,'202211250550492447469413,MU,COCV_190,parra.angi_m,
170019,CO11339519,'202211250548372447457943,3700.1000,2022-11-25 13:44:28.0,maestre.deisy_m,OMSRESTAPIUSER,'202211250550492447469413,MU,COCV_190,parra.angi_m,
170020,CO11339519,'202211250548372447457943,3700.2000,2022-11-25 15:43:42.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211250550492447469413,MU,COCV_190,parra.angi_m,
170021,CO11339521,'202211250556402447493856,3350.1000,2022-11-25 05:57:50.0,DifarmaConsolidateToShipmentAgentServer,quilindo.heider_m,'202211250557492447498610,MU,COCV_181,quilindo.heider_m,
170022,CO11339521,'202211250556402447493856,3350.1500,2022-11-25 06:00:11.0,quilindo.heider_m,quilindo.heider_m,'202211250557492447498610,MU,COCV_181,quilindo.heider_m,
170023,CO11339521,'202211250556402447493856,3350.1500.1000,2022-11-25 06:00:11.0,quilindo.heider_m,castano.styven_m,'202211250557492447498610,MU,COCV_181,quilindo.heider_m,
170024,CO11339521,'202211250556402447493856,3700.1000,2022-11-25 11:19:46.0,castano.styven_m,OMSRESTAPIUSER,'202211250557492447498610,MU,COCV_181,quilindo.heider_m,
170025,CO11339521,'202211250556402447493856,3700.2000,2022-11-25 11:58:38.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211250557492447498610,MU,COCV_181,quilindo.heider_m,
170026,CO11339522,'202211250623402447611834,3350.1000,2022-11-25 06:25:48.0,DifarmaConsolidateToShipmentAgentServer,miranda.maira_m,'202211250625482447620252,MU,COCV_816,miranda.maira_m,
170027,CO11339522,'202211250623402447611834,3350.1500,2022-11-25 06:28:04.0,miranda.maira_m,miranda.maira_m,'202211250625482447620252,MU,COCV_816,miranda.maira_m,
