data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
40001,CO11262875,'202210061745052213986275,3700.2000,2022-10-06 18:57:50.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210061747482213999143,MU,COCV_411,velasquez.yenny_m,
40002,CO11262876,'202210061745052213986257,1400,2022-10-06 17:51:18.0,villa.carlos_m,villa.carlos_m,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40003,CO11262876,'202210061745052213986257,1400,2022-10-06 17:51:18.0,villa.carlos_m,villa.carlos_m,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40004,CO11262876,'202210061745052213986257,3350.1000,2022-10-06 17:47:48.0,DifarmaConsolidateToShipmentAgentServer,villa.carlos_m,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40005,CO11262876,'202210061745052213986257,3350.1000,2022-10-06 17:47:48.0,DifarmaConsolidateToShipmentAgentServer,villa.carlos_m,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40006,CO11262876,'202210061745052213986257,3350.1000,2022-10-06 17:52:10.0,DifarmaConsolidateToShipmentAgentServer,ulloa.estephany_m,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40007,CO11262876,'202210061745052213986257,3350.1000,2022-10-06 17:52:10.0,DifarmaConsolidateToShipmentAgentServer,ulloa.estephany_m,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40008,CO11262876,'202210061745052213986257,3350.1500,2022-10-06 17:53:20.0,ulloa.estephany_m,ulloa.estephany_m,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40009,CO11262876,'202210061745052213986257,3350.1500,2022-10-06 17:53:20.0,ulloa.estephany_m,ulloa.estephany_m,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40010,CO11262876,'202210061745052213986257,3350.1500.1000,2022-10-06 17:53:21.0,ulloa.estephany_m,rodriguez.yudy_m,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40011,CO11262876,'202210061745052213986257,3350.1500.1000,2022-10-06 17:53:21.0,ulloa.estephany_m,rodriguez.yudy_m,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40012,CO11262876,'202210061745052213986257,3700.1000,2022-10-06 17:57:53.0,rodriguez.yudy_m,OMSRESTAPIUSER,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40013,CO11262876,'202210061745052213986257,3700.1000,2022-10-06 17:57:53.0,rodriguez.yudy_m,OMSRESTAPIUSER,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40014,CO11262876,'202210061745052213986257,3700.2000,2022-10-06 19:02:45.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210061747482213999166,MU,COCV_181,villa.carlos_m,
40015,CO11262876,'202210061745052213986257,3700.2000,2022-10-06 19:02:45.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210061752102214026595,MU,COCV_190,ulloa.estephany_m,
40016,CO11262877,'202210061745052213986234,3350.1000,2022-10-06 17:47:48.0,DifarmaConsolidateToShipmentAgentServer,sena.laudid_m,'202210061747472213999121,MU,COCV_181,sena.laudid_m,
40017,CO11262877,'202210061745052213986234,3350.1500,2022-10-06 17:50:56.0,sena.laudid_m,sena.laudid_m,'202210061747472213999121,MU,COCV_181,sena.laudid_m,
40018,CO11262877,'202210061745052213986234,3350.1500.1000,2022-10-06 17:50:56.0,sena.laudid_m,villa.carlos_m,'202210061747472213999121,MU,COCV_181,sena.laudid_m,
40019,CO11262877,'202210061745052213986234,3700.1000,2022-10-06 22:35:01.0,villa.carlos_m,OMSRESTAPIUSER,'202210061747472213999121,MU,COCV_181,sena.laudid_m,
40020,CO11262877,'202210061745052213986234,3700.2000,2022-10-06 23:27:34.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202210061747472213999121,MU,COCV_181,sena.laudid_m,
40021,CO11262878,'202210061751372214022617,3350.1000,2022-10-06 17:52:11.0,DifarmaConsolidateToShipmentAgentServer,rivas.angelica_m,'202210061752112214026841,MU,COCV_391,rivas.angelica_m,
