data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
130001,CO11238384,'202209212236332142375097,3350.1500,2022-09-21 22:39:38.0,ulloa.estephany_m,ulloa.estephany_m,'202209212237512142378919,MU,COCV_190,ulloa.estephany_m,
130002,CO11238384,'202209212236332142375097,3350.1500.1000,2022-09-21 22:39:39.0,ulloa.estephany_m,ulloa.estephany_m,'202209212237512142378919,MU,COCV_190,ulloa.estephany_m,
130003,CO11238384,'202209212236332142375097,3700.1000,2022-09-22 00:42:44.0,ulloa.estephany_m,OMSRESTAPIUSER,'202209212237512142378919,MU,COCV_190,ulloa.estephany_m,
130004,CO11238384,'202209212236332142375097,3700.2000,2022-09-22 14:04:46.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209212237512142378919,MU,COCV_190,ulloa.estephany_m,
130005,CO11238385,'202209212236352142375368,3350.1000,2022-09-21 22:37:53.0,DifarmaConsolidateToShipmentAgentServer,salazar.marly_m,'202209212237532142379139,MU,COCV_174,salazar.marly_m,
130006,CO11238385,'202209212236352142375368,3350.1500,2022-09-21 22:45:15.0,salazar.marly_m,salazar.marly_m,'202209212237532142379139,MU,COCV_174,salazar.marly_m,
130007,CO11238385,'202209212236352142375368,3350.1500.1000,2022-09-21 22:48:40.0,salazar.marly_m,salazar.marly_m,'202209212237532142379139,MU,COCV_174,salazar.marly_m,
130008,CO11238385,'202209212236352142375368,3700.1000,2022-09-22 00:16:28.0,salazar.marly_m,OMSRESTAPIUSER,'202209212237532142379139,MU,COCV_174,salazar.marly_m,
130009,CO11238385,'202209212236352142375368,3700.2000,2022-09-22 01:08:08.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209212237532142379139,MU,COCV_174,salazar.marly_m,
130010,CO11238386,'202209212236352142375345,3350.1000,2022-09-21 22:37:53.0,DifarmaConsolidateToShipmentAgentServer,paez.monica_m,'202209212237532142379175,MU,COCV_101,paez.monica_m,
130011,CO11238386,'202209212236352142375345,3350.1500,2022-09-21 22:42:55.0,paez.monica_m,paez.monica_m,'202209212237532142379175,MU,COCV_101,paez.monica_m,
130012,CO11238386,'202209212236352142375345,3350.1500.1000,2022-09-21 22:42:55.0,paez.monica_m,paez.monica_m,'202209212237532142379175,MU,COCV_101,paez.monica_m,
130013,CO11238386,'202209212236352142375345,3700.1000,2022-09-21 22:52:25.0,paez.monica_m,OMSRESTAPIUSER,'202209212237532142379175,MU,COCV_101,paez.monica_m,
130014,CO11238386,'202209212236352142375345,3700.2000,2022-09-21 23:04:41.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209212237532142379175,MU,COCV_101,paez.monica_m,
130015,CO11238387,'202209212236352142375267,3350.1000,2022-09-21 22:37:52.0,DifarmaConsolidateToShipmentAgentServer,garzon.sandracarina_m,'202209212237522142379093,MU,COCV_190,garzon.sandracarina_m,
130016,CO11238387,'202209212236352142375267,3350.1500,2022-09-21 22:39:49.0,garzon.sandracarina_m,garzon.sandracarina_m,'202209212237522142379093,MU,COCV_190,garzon.sandracarina_m,
130017,CO11238387,'202209212236352142375267,3350.1500.1000,2022-09-21 22:39:49.0,garzon.sandracarina_m,garzon.sandracarina_m,'202209212237522142379093,MU,COCV_190,garzon.sandracarina_m,
130018,CO11238387,'202209212236352142375267,3700.1000,2022-09-21 22:44:56.0,garzon.sandracarina_m,OMSRESTAPIUSER,'202209212237522142379093,MU,COCV_190,garzon.sandracarina_m,
130019,CO11238387,'202209212236352142375267,3700.2000,2022-09-22 00:10:55.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209212237522142379093,MU,COCV_190,garzon.sandracarina_m,
130020,CO11238389,'202209212238382142380386,3350.1000,2022-09-21 22:39:41.0,DifarmaConsolidateToShipmentAgentServer,sanchez.armando_m,'202209212239412142383992,MU,COCV_381,sanchez.armando_m,
130021,CO11238389,'202209212238382142380386,3350.1500,2022-09-21 22:41:24.0,sanchez.armando_m,sanchez.armando_m,'202209212239412142383992,MU,COCV_381,sanchez.armando_m,
130022,CO11238389,'202209212238382142380386,3350.1500.1000,2022-09-21 22:41:25.0,sanchez.armando_m,sanchez.armando_m,'202209212239412142383992,MU,COCV_381,sanchez.armando_m,
130023,CO11238389,'202209212238382142380386,3700.1000,2022-09-21 23:00:50.0,sanchez.armando_m,OMSRESTAPIUSER,'202209212239412142383992,MU,COCV_381,sanchez.armando_m,
130024,CO11238389,'202209212238382142380386,3700.2000,2022-09-22 00:07:18.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209212239412142383992,MU,COCV_381,sanchez.armando_m,
130025,CO11238390,'202209212238382142380373,3350.1000,2022-09-21 22:39:40.0,DifarmaConsolidateToShipmentAgentServer,domico.leidy_m,'202209212239402142383880,MU,COCV_556,domico.leidy_m,
130026,CO11238390,'202209212238382142380373,3350.1500,2022-09-21 22:41:52.0,domico.leidy_m,domico.leidy_m,'202209212239402142383880,MU,COCV_556,domico.leidy_m,
130027,CO11238390,'202209212238382142380373,3350.1500.1000,2022-09-21 22:41:52.0,domico.leidy_m,londono.leidy_m,'202209212239402142383880,MU,COCV_556,domico.leidy_m,
130028,CO11238390,'202209212238382142380373,3700.1000,2022-09-22 05:43:25.0,londono.leidy_m,OMSRESTAPIUSER,'202209212239402142383880,MU,COCV_556,domico.leidy_m,
130029,CO11238390,'202209212238382142380373,3700.2000,2022-09-22 05:54:57.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202209212239402142383880,MU,COCV_556,domico.leidy_m,
130030,CO11238391,'202209212241412142395180,3350.1000,2022-09-21 22:45:01.0,DifarmaConsolidateToShipmentAgentServer,castaneda.leydy_m,'202209212245012142404433,MU,COCV_677,castaneda.leydy_m,
130031,CO11238391,'202209212241412142395180,3350.1500,2022-09-21 22:48:36.0,castaneda.leydy_m,castaneda.leydy_m,'202209212245012142404433,MU,COCV_677,castaneda.leydy_m,
130032,CO11238391,'202209212241412142395180,3350.1500.1000,2022-09-21 22:48:36.0,castaneda.leydy_m,mottas.dania_m,'202209212245012142404433,MU,COCV_677,castaneda.leydy_m,
